 i_category |       i_brand       |       cc_name       | d_year | d_moy | avg_monthly_sales  |     sum_sales      |       psum        |        nsum        
 Shoes      | importoedu pack #1  | Pacific Northwest   |   1999 |     2 | 128690.96249999998 |           62982.44 | 76430.71000000004 |  73590.14000000001
 Men        | edu packimporto #1  | Pacific Northwest_1 |   1999 |     2 | 137299.11750000002 |  71635.89999999994 |          82907.43 |  77494.85000000003
 Children   | exportiexporti #1   | Hawaii/Alaska_1     |   1999 |     2 |  131101.3516666667 |  65451.86999999998 | 76470.64000000001 |  72666.42999999998
 Shoes      | edu packedu pack #1 | Mid Atlantic_1      |   1999 |     2 |          131658.71 |  66213.93999999997 | 74237.66999999998 |  69392.98999999999
 Music      | edu packscholar #1  | Mid Atlantic_2      |   1999 |     2 | 136294.46416666664 |  70970.63000000002 | 82771.76999999999 |           80013.03
 Music      | edu packscholar #1  | Hawaii/Alaska_1     |   1999 |     2 | 136402.79583333337 |  71130.25000000001 |          80348.78 |  81345.13000000003
 Women      | amalgamalg #1       | Pacific Northwest   |   1999 |     2 | 130697.57666666666 |  65429.02999999996 | 75098.96000000005 |  74908.06000000003
 Music      | amalgscholar #1     | California_1        |   1999 |     4 | 136551.58416666664 |  71287.98999999996 | 78893.43999999997 |  81741.31999999999
 Men        | exportiimporto #1   | Pacific Northwest   |   1999 |     2 | 130008.92250000006 |  64853.42999999999 | 78998.34000000003 |  78227.82999999999
 Men        | importoimporto #1   | NY Metro            |   1999 |     2 | 130420.85666666664 |           65278.59 | 78031.62999999999 |  76522.30000000003
 Music      | amalgscholar #1     | California_1        |   1999 |     6 | 136551.58416666664 |            71415.5 | 81741.31999999999 |  82289.70999999995
 Men        | edu packimporto #1  | Mid Atlantic        |   1999 |     2 | 141125.72416666665 |  76041.43999999999 |          74881.13 |  82218.70000000001
 Shoes      | exportiedu pack #1  | Pacific Northwest   |   1999 |     2 | 132765.30666666667 |           67725.33 | 78684.01000000001 |           78568.48
 Men        | edu packimporto #1  | North Midwest       |   1999 |     2 | 140246.03083333338 |           75248.12 | 81253.72999999997 |           71824.23
 Shoes      | amalgedu pack #1    | NY Metro_2          |   1999 |     2 | 135640.97916666663 |  70677.05999999997 | 80955.33999999995 |  78620.93000000001
 Shoes      | amalgedu pack #1    | Mid Atlantic_2      |   1999 |     2 | 136014.31500000003 |  71078.73999999998 | 82068.62000000001 |  78493.55999999998
 Shoes      | edu packedu pack #1 | Pacific Northwest   |   1999 |     2 | 130924.49833333334 |  66004.86000000002 |          82033.43 |  79061.68000000002
 Children   | importoexporti #1   | NY Metro_2          |   1999 |     2 | 131259.91083333333 |  66438.73000000001 |          74661.25 |  75935.50999999997
 Men        | edu packimporto #1  | California          |   1999 |     6 |  138722.6133333334 |  73952.96999999997 | 85833.83000000005 |           83803.16
 Shoes      | amalgedu pack #1    | Hawaii/Alaska       |   1999 |     2 |  136138.8183333334 |  71494.52000000002 | 77797.00999999997 |  79009.64000000003
 Music      | importoscholar #1   | Mid Atlantic_1      |   1999 |     2 | 133932.24833333332 |  69296.03999999998 |           77358.5 |  74758.16999999998
 Men        | amalgimporto #1     | NY Metro_2          |   1999 |     2 |          134594.21 |  70007.32999999996 | 78425.29999999997 |  75432.77000000005
 Children   | importoexporti #1   | NY Metro            |   1999 |     2 | 133551.32833333328 |  68969.54999999999 | 80808.53000000001 |  76381.21000000002
 Music      | amalgscholar #1     | NY Metro            |   1999 |     2 | 134843.43500000003 |  70304.79999999997 | 78626.34999999998 |  74887.29999999999
 Women      | amalgamalg #1       | Mid Atlantic_1      |   1999 |     2 | 131241.25333333333 |  66838.99999999997 |          79874.97 |           73630.83
 Women      | exportiamalg #1     | Pacific Northwest   |   1999 |     2 | 135950.08833333335 |  71559.59000000005 |          79196.01 |  75609.58000000002
 Shoes      | importoedu pack #1  | California          |   1999 |     2 |        131609.3525 |  67241.13999999998 | 79475.96999999997 |  73398.02999999997
 Music      | exportischolar #1   | Mid Atlantic        |   1999 |     2 |  127262.8258333333 | 63017.120000000024 | 74900.87999999996 |  73019.54000000001
 Children   | amalgexporti #1     | California          |   1999 |     2 | 133031.24500000002 |           68810.92 |          78227.95 |  75528.70999999998
 Children   | exportiexporti #1   | Pacific Northwest   |   1999 |     2 | 129242.78250000002 | 65043.899999999994 | 77216.13999999997 |  72535.52999999998
 Children   | amalgexporti #1     | NY Metro            |   1999 |     2 | 133607.12083333326 |  69411.48000000003 | 80916.91999999997 |           73957.71
 Children   | amalgexporti #1     | Pacific Northwest   |   1999 |     2 |         133163.375 |  69012.42999999998 | 74917.78999999998 |  77667.96000000004
 Women      | exportiamalg #1     | North Midwest_2     |   1999 |     2 | 135059.47999999992 |  70920.33000000002 | 77577.51999999999 |  76783.98999999999
 Music      | exportischolar #1   | Mid Atlantic_1      |   1999 |     2 |        127242.1025 |  63115.37000000001 | 77789.72999999997 |  73174.31000000004
 Music      | edu packscholar #1  | California          |   1999 |     2 |        137371.1825 |  73247.97999999997 | 80661.28999999996 |  78817.70999999998
 Women      | exportiamalg #1     | Mid Atlantic_2      |   1999 |     2 |  134142.0983333333 |           70083.83 | 78964.09000000004 |  80670.42000000003
 Music      | edu packscholar #1  | Pacific Northwest   |   1999 |     2 | 135741.54333333333 |           71683.56 | 82100.73000000003 |  73315.73999999998
 Music      | importoscholar #1   | NY Metro_1          |   1999 |     2 | 133802.44999999998 |  69777.66999999998 | 80630.84000000004 |  75124.39000000003
 Music      | amalgscholar #1     | Mid Atlantic_1      |   1999 |     2 | 135904.35583333333 |           71886.86 | 76445.07000000004 |  75317.63999999996
 Shoes      | edu packedu pack #1 | North Midwest       |   1999 |     2 | 131278.32666666666 |  67282.12000000004 | 79010.48000000004 |           71704.09
 Men        | edu packimporto #1  | Pacific Northwest   |   1999 |     2 |  140332.7958333333 |  76336.70999999996 | 84284.37000000002 |  82247.96000000002
 Children   | exportiexporti #1   | NY Metro            |   1999 |     2 |          129293.19 |  65322.93000000005 |          77470.13 |  74886.62000000002
 Women      | exportiamalg #1     | Mid Atlantic_1      |   1999 |     2 | 135951.38416666668 |  71995.17999999996 | 77935.09000000003 |  75290.69000000002
 Men        | amalgimporto #1     | Mid Atlantic_2      |   1999 |     2 | 133664.36666666667 |  69726.59000000001 | 77723.65999999997 |  79594.01999999997
 Children   | edu packexporti #1  | North Midwest       |   1999 |     2 | 128289.57333333335 |  64373.68000000002 | 75851.09999999996 |  72965.13999999998
 Children   | amalgexporti #1     | Mid Atlantic        |   1999 |     2 | 132517.43166666667 |  68603.96000000002 | 73461.65000000001 |  77354.88999999996
 Men        | edu packimporto #1  | Mid Atlantic_2      |   1999 |     2 | 139758.08583333332 |  75869.55000000002 | 83070.35999999999 |  83315.74999999999
 Men        | edu packimporto #1  | North Midwest_2     |   1999 |     2 | 140297.80416666667 |  76420.06999999999 |          83852.92 |  80207.25999999995
 Men        | amalgimporto #1     | Mid Atlantic        |   1999 |     2 | 132615.30333333334 |           68746.61 | 78444.47999999998 |  76372.75999999998
 Children   | amalgexporti #1     | Pacific Northwest_1 |   1999 |     4 | 133820.31583333333 |  69954.07999999999 |          81230.84 |  85079.12999999999
 Music      | edu packscholar #1  | NY Metro            |   1999 |     2 |         138458.655 |  74598.02999999998 |          85780.89 |  81318.52000000002
 Men        | edu packimporto #1  | NY Metro_2          |   1999 |     7 | 140934.13583333333 |  77179.56999999996 | 80379.92999999998 | 185745.29000000007
 Women      | amalgamalg #1       | Hawaii/Alaska       |   1999 |     2 | 130848.47250000002 |  67134.85000000002 | 77596.79000000002 |           73856.27
 Men        | importoimporto #1   | NY Metro_1          |   1999 |     2 | 130423.36333333336 |  66721.65999999999 | 82889.98000000004 |           75933.59
 Music      | importoscholar #1   | Hawaii/Alaska       |   1999 |     2 |        135515.4775 |  71865.32999999999 | 79668.06000000001 |  78231.57999999999
 Women      | exportiamalg #1     | North Midwest       |   1999 |     6 | 135253.84583333335 |  71610.78999999996 | 78138.30000000005 |  83536.89000000001
 Women      | importoamalg #1     | Mid Atlantic_1      |   1999 |     2 | 129459.80666666669 |  65838.94999999995 | 82172.70999999996 |  72958.37000000002
 Children   | importoexporti #1   | NY Metro_1          |   1999 |     5 | 133658.31499999997 |           70083.31 |          76199.47 |  77524.44999999998
 Music      | edu packscholar #1  | Mid Atlantic_1      |   1999 |     2 | 136139.83916666664 |  72590.00999999998 |          78982.25 |  73929.71999999994
 Children   | exportiexporti #1   | Mid Atlantic        |   1999 |     2 | 130999.20250000001 |  67462.03000000003 | 77828.30999999997 |  75796.04000000001
 Men        | amalgimporto #1     | North Midwest_2     |   1999 |     2 | 133001.05833333335 |  69494.81000000003 |          80893.37 |  76105.49999999999
 Shoes      | amalgedu pack #1    | Mid Atlantic_1      |   1999 |     3 | 136157.47333333336 |  72664.54999999999 | 69312.64000000004 |  79693.72000000002
 Men        | edu packimporto #1  | Hawaii/Alaska_1     |   1999 |     4 |         139404.345 |           75925.45 | 78176.49000000005 |  84339.07999999999
 Men        | amalgimporto #1     | NY Metro            |   1999 |     2 |  133847.8808333334 |           70380.79 |           77107.6 |  79375.76000000001
 Music      | amalgscholar #1     | Mid Atlantic        |   1999 |     3 | 136434.24999999997 |  72975.10999999996 | 70147.57000000002 |  76477.26999999999
 Children   | amalgexporti #1     | North Midwest       |   1999 |     2 | 134109.76083333333 |           70663.18 |          80890.65 |           75067.99
 Men        | amalgimporto #1     | California_1        |   1999 |     2 | 134140.33166666667 |  70705.78000000003 |          78560.66 |  78033.20999999998
 Shoes      | exportiedu pack #1  | California          |   1999 |     2 | 130148.87083333333 |  66720.86999999998 | 77449.58999999997 |           72545.59
 Shoes      | amalgedu pack #1    | Pacific Northwest   |   1999 |     2 | 137002.87083333332 |  73598.70999999998 | 86330.73999999999 |  81446.23999999999
 Men        | importoimporto #1   | North Midwest       |   1999 |     2 | 129332.16749999998 |            65940.3 | 78025.85999999999 |  73742.47999999998
 Music      | amalgscholar #1     | Mid Atlantic_2      |   1999 |     2 | 135180.19499999998 |           71789.72 |          84376.77 |  81201.89999999997
 Women      | exportiamalg #1     | Hawaii/Alaska_1     |   1999 |     2 |  136052.2791666667 |  72674.10000000005 | 78088.79000000001 |  84733.64000000004
 Children   | exportiexporti #1   | California_1        |   1999 |     2 | 130067.46250000002 |  66708.22000000003 | 82008.51000000001 |  77534.49999999999
(100 rows)

