 channel |    col_name     | d_year | d_qoy | i_category  | sales_cnt |     sales_amt      
 catalog | cs_ship_addr_sk |   1998 |     3 | Books       |      1957 |  2486621.240000001
 catalog | cs_ship_addr_sk |   1998 |     3 | Children    |      1924 | 2551507.5999999996
 catalog | cs_ship_addr_sk |   1998 |     3 | Electronics |      1932 |  2477592.470000001
 catalog | cs_ship_addr_sk |   1998 |     3 | Home        |      1939 | 2496216.5700000017
 catalog | cs_ship_addr_sk |   1998 |     3 | Jewelry     |      1961 | 2371977.0100000026
 catalog | cs_ship_addr_sk |   1998 |     3 | Men         |      1882 |  2515154.730000002
 catalog | cs_ship_addr_sk |   1998 |     3 | Music       |      2020 | 2655940.3300000015
 catalog | cs_ship_addr_sk |   1998 |     3 | Shoes       |      1893 | 2468924.9199999995
 catalog | cs_ship_addr_sk |   1998 |     3 | Sports      |      1999 | 2568169.9000000027
 catalog | cs_ship_addr_sk |   1998 |     3 | Women       |      1824 | 2409931.5899999994
 catalog | cs_ship_addr_sk |   1998 |     4 |             |        81 |  97829.53000000003
 catalog | cs_ship_addr_sk |   1998 |     4 | Books       |      3109 |  3929636.670000006
 catalog | cs_ship_addr_sk |   1998 |     4 | Children    |      3175 |  4010683.470000005
 catalog | cs_ship_addr_sk |   1998 |     4 | Electronics |      3148 |  4087861.420000002
 catalog | cs_ship_addr_sk |   1998 |     4 | Home        |      3102 | 3725760.7900000024
 catalog | cs_ship_addr_sk |   1998 |     4 | Jewelry     |      3068 |  3970296.180000004
 catalog | cs_ship_addr_sk |   1998 |     4 | Men         |      3137 | 4017874.8899999945
 catalog | cs_ship_addr_sk |   1998 |     4 | Music       |      3087 | 4007155.4199999976
 catalog | cs_ship_addr_sk |   1998 |     4 | Shoes       |      3105 | 3922490.5100000007
 catalog | cs_ship_addr_sk |   1998 |     4 | Sports      |      3165 |  3796886.889999995
 catalog | cs_ship_addr_sk |   1998 |     4 | Women       |      3123 | 3879555.6399999964
 catalog | cs_ship_addr_sk |   1999 |     1 |             |        28 |            7464.71
 catalog | cs_ship_addr_sk |   1999 |     1 | Books       |      1022 |         1344125.58
 catalog | cs_ship_addr_sk |   1999 |     1 | Children    |       990 | 1381143.4700000004
 catalog | cs_ship_addr_sk |   1999 |     1 | Electronics |       981 | 1310277.3500000003
 catalog | cs_ship_addr_sk |   1999 |     1 | Home        |      1030 | 1349702.9300000006
 catalog | cs_ship_addr_sk |   1999 |     1 | Jewelry     |      1016 | 1245079.5599999991
 catalog | cs_ship_addr_sk |   1999 |     1 | Men         |       957 | 1188993.0299999996
 catalog | cs_ship_addr_sk |   1999 |     1 | Music       |       994 | 1202510.9299999997
 catalog | cs_ship_addr_sk |   1999 |     1 | Shoes       |      1034 |         1306495.36
 catalog | cs_ship_addr_sk |   1999 |     1 | Sports      |      1028 |  1291163.030000001
 catalog | cs_ship_addr_sk |   1999 |     1 | Women       |      1012 | 1258050.6300000004
 catalog | cs_ship_addr_sk |   1999 |     2 |             |        28 | 22703.129999999997
 catalog | cs_ship_addr_sk |   1999 |     2 | Books       |       997 | 1106926.7800000007
 catalog | cs_ship_addr_sk |   1999 |     2 | Children    |      1034 |         1390049.33
 catalog | cs_ship_addr_sk |   1999 |     2 | Electronics |      1009 | 1221235.8499999996
 catalog | cs_ship_addr_sk |   1999 |     2 | Home        |      1002 |         1247635.52
 catalog | cs_ship_addr_sk |   1999 |     2 | Jewelry     |      1051 | 1274666.5499999989
 catalog | cs_ship_addr_sk |   1999 |     2 | Men         |       950 | 1312651.5199999993
 catalog | cs_ship_addr_sk |   1999 |     2 | Music       |      1090 | 1262888.0600000008
 catalog | cs_ship_addr_sk |   1999 |     2 | Shoes       |      1003 | 1350907.9000000015
 catalog | cs_ship_addr_sk |   1999 |     2 | Sports      |      1062 |  1404039.610000001
 catalog | cs_ship_addr_sk |   1999 |     2 | Women       |      1038 | 1309876.1800000013
 catalog | cs_ship_addr_sk |   1999 |     3 |             |        49 | 121649.35000000005
 catalog | cs_ship_addr_sk |   1999 |     3 | Books       |      1889 |  2360911.140000001
 catalog | cs_ship_addr_sk |   1999 |     3 | Children    |      1930 | 2430001.7199999965
 catalog | cs_ship_addr_sk |   1999 |     3 | Electronics |      1920 | 2486969.8700000006
 catalog | cs_ship_addr_sk |   1999 |     3 | Home        |      1825 |  2254475.260000004
 catalog | cs_ship_addr_sk |   1999 |     3 | Jewelry     |      1889 |  2449232.569999998
 catalog | cs_ship_addr_sk |   1999 |     3 | Men         |      1880 | 2561886.9499999993
 catalog | cs_ship_addr_sk |   1999 |     3 | Music       |      2004 | 2769146.0200000023
 catalog | cs_ship_addr_sk |   1999 |     3 | Shoes       |      1958 | 2378793.6999999997
 catalog | cs_ship_addr_sk |   1999 |     3 | Sports      |      2020 |         2334391.82
 catalog | cs_ship_addr_sk |   1999 |     3 | Women       |      1923 |  2495390.350000003
 catalog | cs_ship_addr_sk |   1999 |     4 |             |        80 | 105973.84999999999
 catalog | cs_ship_addr_sk |   1999 |     4 | Books       |      3133 |  3955734.459999997
 catalog | cs_ship_addr_sk |   1999 |     4 | Children    |      3156 | 3956667.8999999957
 catalog | cs_ship_addr_sk |   1999 |     4 | Electronics |      3176 | 4028333.6500000027
 catalog | cs_ship_addr_sk |   1999 |     4 | Home        |      3169 | 3903603.0599999945
 catalog | cs_ship_addr_sk |   1999 |     4 | Jewelry     |      3138 | 4046392.5700000003
 catalog | cs_ship_addr_sk |   1999 |     4 | Men         |      3106 |  3862940.330000001
 catalog | cs_ship_addr_sk |   1999 |     4 | Music       |      3169 | 3893999.7000000016
 catalog | cs_ship_addr_sk |   1999 |     4 | Shoes       |      3184 | 4171810.6200000024
 catalog | cs_ship_addr_sk |   1999 |     4 | Sports      |      3201 | 4074714.4500000044
 catalog | cs_ship_addr_sk |   1999 |     4 | Women       |      3127 | 3922473.6100000003
 catalog | cs_ship_addr_sk |   2000 |     1 |             |        29 | 32755.430000000004
 catalog | cs_ship_addr_sk |   2000 |     1 | Books       |      1021 | 1352047.6499999997
 catalog | cs_ship_addr_sk |   2000 |     1 | Children    |      1014 | 1296538.1000000006
 catalog | cs_ship_addr_sk |   2000 |     1 | Electronics |      1081 |  1208815.980000001
 catalog | cs_ship_addr_sk |   2000 |     1 | Home        |      1003 | 1289501.9599999997
 catalog | cs_ship_addr_sk |   2000 |     1 | Jewelry     |      1086 | 1352773.1099999996
 catalog | cs_ship_addr_sk |   2000 |     1 | Men         |      1065 |         1378397.61
 catalog | cs_ship_addr_sk |   2000 |     1 | Music       |      1036 | 1414813.9299999995
 catalog | cs_ship_addr_sk |   2000 |     1 | Shoes       |      1044 | 1414103.1600000001
 catalog | cs_ship_addr_sk |   2000 |     1 | Sports      |      1009 | 1217130.1200000008
 catalog | cs_ship_addr_sk |   2000 |     1 | Women       |      1050 | 1248611.8100000005
 catalog | cs_ship_addr_sk |   2000 |     2 |             |        17 | 14053.199999999999
(100 rows)

