 i_category |       i_brand       | s_store_name | s_company_name | d_year | d_moy | avg_monthly_sales  |     sum_sales      |        psum        |        nsum        
 Music      | edu packscholar #1  | eing         | Unknown        |   1999 |     3 |  387154.8958333332 | 214651.90000000008 |  207608.9499999999 | 217246.94000000026
 Women      | importoamalg #1     | eing         | Unknown        |   1999 |     2 | 362094.10333333333 | 189615.76999999996 |  244090.8099999999 | 202447.69999999998
 Men        | importoimporto #1   | bar          | Unknown        |   1999 |     2 |           367050.8 | 194577.13000000024 |  263897.7699999999 |  214734.1099999998
 Shoes      | exportiedu pack #1  | able         | Unknown        |   1999 |     2 |  373697.0241666667 |  201255.0300000001 |  262432.0099999993 |  206563.3599999997
 Children   | importoexporti #1   | eing         | Unknown        |   1999 |     2 |  375798.4841666666 | 203495.05000000013 | 265589.95999999973 | 212429.32000000012
 Music      | edu packscholar #1  | cally        | Unknown        |   1999 |     2 | 361535.11166666675 | 189231.85000000006 | 247597.88000000018 |  211040.5599999999
 Women      | exportiamalg #1     | eing         | Unknown        |   1999 |     4 |  378787.8691666666 | 206560.81999999995 | 216954.71000000002 |          231234.35
 Shoes      | edu packedu pack #1 | eing         | Unknown        |   1999 |     2 | 372623.24833333323 | 200668.57999999996 | 260198.73999999993 | 214325.94999999966
 Shoes      | edu packedu pack #1 | bar          | Unknown        |   1999 |     2 | 368544.74666666676 | 196692.92000000022 |  269922.6300000002 |  212461.1100000001
 Women      | exportiamalg #1     | able         | Unknown        |   1999 |     4 | 379322.73499999987 | 207653.21000000017 | 223133.33000000005 | 226795.33000000002
 Children   | amalgexporti #1     | ese          | Unknown        |   1999 |     2 |  360501.1558333333 | 189001.43999999977 | 254056.72999999975 | 208860.81999999977
 Music      | importoscholar #1   | able         | Unknown        |   1999 |     3 |  382824.2250000001 | 211591.04999999987 |  200592.6499999999 |  214521.0700000003
 Shoes      | amalgedu pack #1    | able         | Unknown        |   1999 |     4 |  385213.2324999999 |  214159.0899999997 | 219871.17000000025 | 232048.71999999986
 Women      | amalgamalg #1       | eing         | Unknown        |   1999 |     2 |  373189.1858333331 | 202262.70999999996 | 258852.31000000006 | 210203.64999999997
 Music      | exportischolar #1   | bar          | Unknown        |   1999 |     2 | 362423.45583333337 | 191532.66999999998 | 257033.20000000024 | 212896.37000000002
 Music      | exportischolar #1   | eing         | Unknown        |   1999 |     2 |  364116.3433333335 | 193229.32999999996 | 252749.50999999995 | 204292.91999999987
 Men        | amalgimporto #1     | ese          | Unknown        |   1999 |     2 | 363088.00583333353 | 192401.14999999997 | 250446.82000000018 | 206376.33999999994
 Shoes      | exportiedu pack #1  | ese          | Unknown        |   1999 |     2 | 359178.15499999985 |  188581.4999999999 | 245113.34999999977 |  204749.8599999999
 Shoes      | importoedu pack #1  | bar          | Unknown        |   1999 |     2 | 369368.38833333325 |          198822.51 |  261586.1600000001 | 213613.12999999983
 Men        | exportiimporto #1   | eing         | Unknown        |   1999 |     2 |  367278.8149999999 |          196820.52 |  264465.1899999998 | 211708.66000000003
 Music      | importoscholar #1   | eing         | Unknown        |   1999 |     4 |  382250.0983333333 | 211834.85000000015 |  222192.2600000001 | 227455.74999999985
 Men        | edu packimporto #1  | eing         | Unknown        |   1999 |     3 |  395733.5124999999 | 225338.47999999998 |          210147.32 | 221617.84000000003
 Children   | edu packexporti #1  | eing         | Unknown        |   1999 |     2 | 364372.17416666675 | 194155.14000000013 |  249726.4300000001 | 213096.91000000035
 Music      | edu packscholar #1  | eing         | Unknown        |   1999 |     4 |  387154.8958333332 | 217246.94000000026 | 214651.90000000008 | 228247.71000000002
 Men        | edu packimporto #1  | bar          | Unknown        |   1999 |     4 |  394108.2441666666 | 224238.81000000023 | 220273.03999999998 |          236017.25
 Music      | importoscholar #1   | ese          | Unknown        |   1999 |     2 | 364607.17750000005 | 194744.16999999995 | 258866.43000000008 | 204875.52000000014
 Children   | exportiexporti #1   | bar          | Unknown        |   1999 |     2 |  368789.2158333335 | 199104.29000000004 | 262441.16000000015 | 217687.58000000007
 Music      | edu packscholar #1  | bar          | Unknown        |   1999 |     4 |  388055.4541666666 | 218412.63000000012 | 220368.42999999985 | 229359.68000000017
 Shoes      | amalgedu pack #1    | bar          | Unknown        |   1999 |     3 |  384835.2283333333 | 215245.00000000012 | 200407.10999999975 | 223233.23000000027
 Shoes      | edu packedu pack #1 | ese          | Unknown        |   1999 |     2 |  355155.3116666667 | 185660.43000000002 | 250893.03999999963 | 203742.27000000002
 Women      | amalgamalg #1       | ese          | Unknown        |   1999 |     2 | 358121.19749999983 | 188696.99999999977 | 256587.66000000015 | 203014.84999999983
 Men        | edu packimporto #1  | able         | Unknown        |   1999 |     6 |  396815.2591666665 |  227538.4699999998 | 233655.84000000014 | 230174.44000000024
 Children   | exportiexporti #1   | eing         | Unknown        |   1999 |     2 | 369118.00666666654 | 199872.65999999992 | 257301.38999999972 |  210846.5699999999
 Children   | amalgexporti #1     | eing         | Unknown        |   1999 |     4 |  378323.0016666667 |  209242.9499999999 | 223841.27000000014 |  223433.7299999998
 Shoes      | importoedu pack #1  | eing         | Unknown        |   1999 |     2 |  367981.2574999999 |  198962.8199999998 |  263387.2399999999 | 213036.95999999976
 Shoes      | importoedu pack #1  | able         | Unknown        |   1999 |     2 | 366547.81083333335 | 197660.86999999994 | 260651.40999999968 | 202916.72000000003
 Music      | amalgscholar #1     | eing         | Unknown        |   1999 |     4 |  381872.4683333333 | 212997.98000000016 | 220032.37000000023 | 217318.25999999986
 Men        | edu packimporto #1  | eing         | Unknown        |   1999 |     6 |  395733.5124999999 | 226861.79999999984 | 235101.87999999977 | 231369.72000000003
 Men        | amalgimporto #1     | eing         | Unknown        |   1999 |     4 |         373684.195 | 204903.17999999982 | 213278.32999999993 | 223456.36999999994
 Shoes      | amalgedu pack #1    | eing         | Unknown        |   1999 |     3 | 381835.38249999983 | 213175.17999999993 | 208505.55999999982 | 219972.53000000014
 Men        | edu packimporto #1  | ese          | Unknown        |   1999 |     3 | 380722.38999999996 | 212329.69999999984 |  200036.7300000001 | 218463.36000000034
 Music      | importoscholar #1   | able         | Unknown        |   1999 |     4 |  382824.2250000001 |  214521.0700000003 | 211591.04999999987 | 220475.91999999993
 Shoes      | amalgedu pack #1    | able         | Unknown        |   1999 |     6 |  385213.2324999999 |          216926.19 | 232048.71999999986 | 235019.73999999993
 Shoes      | edu packedu pack #1 | able         | Unknown        |   1999 |     2 | 370254.26583333313 | 202088.73000000004 |  260290.6399999996 |  216117.4099999999
 Women      | importoamalg #1     | bar          | Unknown        |   1999 |     2 | 362744.60333333333 | 194650.31999999995 | 246525.08999999962 | 208993.50999999995
 Children   | importoexporti #1   | bar          | Unknown        |   1999 |     4 | 373483.69166666665 | 205602.95999999996 |  216900.7300000001 | 223848.99999999985
 Music      | edu packscholar #1  | bar          | Unknown        |   1999 |     3 |  388055.4541666666 | 220368.42999999985 |  203682.0900000002 | 218412.63000000012
 Men        | importoimporto #1   | able         | Unknown        |   1999 |     2 | 365402.18583333323 | 197878.44999999995 | 259759.21000000002 |  210733.8499999998
 Children   | importoexporti #1   | able         | Unknown        |   1999 |     4 |  378577.1191666667 | 211105.23999999993 | 221844.61999999976 |  225421.9800000005
 Music      | amalgscholar #1     | able         | Unknown        |   1999 |     6 | 381328.92333333334 | 213943.47999999998 | 227036.42000000027 |  226858.0100000003
 Men        | amalgimporto #1     | cally        | Unknown        |   1999 |     2 |  346673.7316666667 | 179305.63999999996 |  245055.3100000001 | 201018.57999999984
 Shoes      | exportiedu pack #1  | able         | Unknown        |   1999 |     3 |  373697.0241666667 |  206563.3599999997 |  201255.0300000001 |  216622.1299999999
(100 rows)

