 brand_id |         brand         | i_manufact_id |   i_manufact    |     ext_price      
  2004002 | edu packimporto #2    |           556 | callyantianti   |          222134.82
  5004001 | edu packscholar #1    |           215 | antioughtable   | 221745.97000000006
  7011005 | amalgnameless #5      |           264 | esecallyable    | 220777.22000000003
  9009008 | maximaxi #8           |           855 | antiantieing    | 220151.96999999997
 10014006 | edu packamalgamalg #6 |           116 | callyoughtought |          218029.45
  1003001 | exportiamalg #1       |           383 | prieingpri      | 217089.58999999997
  8001003 | amalgnameless #3      |           304 | esebarpri       |          216930.29
  3004002 | edu packexporti #2    |            41 | oughtese        | 216705.38999999998
  4001002 | amalgedu pack #2      |           302 | ablebarpri      | 214751.57000000004
  4004002 | edu packedu pack #2   |            78 | eingation       |          213387.63
  1004001 | edu packamalg #1      |           541 | oughteseanti    |          213030.18
  2003001 | exportiimporto #1     |           426 | callyableese    |          212436.51
  9011005 | amalgunivamalg #5     |           329 | n stablepri     |          210493.89
 10010005 | univamalgamalg #5     |           684 | eseeingcally    | 210286.66000000003
 10007014 | brandunivamalg #14    |           134 | esepriought     |          210120.92
  2004001 | edu packimporto #1    |           447 | ationeseese     | 210049.08000000002
  1004002 | edu packamalg #2      |           521 | oughtableanti   | 210014.55000000005
  2004001 | edu packimporto #1    |             5 | anti            | 209979.03999999998
  6010005 | univbrand #5          |           271 | oughtationable  | 209553.74999999997
  4003001 | exportiedu pack #1    |           371 | oughtationpri   |          209171.48
  9011003 | amalgunivamalg #3     |            98 | eingn st        |          208765.88
  6007001 | brandcorp #1          |           255 | antiantiable    | 208667.16999999998
  2001001 | amalgimporto #1       |            52 | ableanti        | 208567.11000000002
  5003001 | exportischolar #1     |           457 | ationantiese    |          208513.76
  9008011 | namelessmaxi #11      |            30 | barpri          |             208309
  2002002 | importoimporto #2     |           229 | n stableable    | 207267.58000000002
  9016005 | corpunivamalg #5      |           294 | esen stable     | 206994.25999999998
  3002002 | importoexporti #2     |           409 | n stbarese      | 206748.25999999998
  4004001 | edu packedu pack #1   |           627 | ationablecally  | 206407.56999999998
  8011003 | amalgmaxi #3          |           683 | prieingcally    | 205814.27000000002
 10001005 | amalgunivamalg #5     |           195 | antin stought   | 204864.66999999998
  5001002 | amalgscholar #2       |            30 | barpri          |          204773.67
  3001001 | amalgexporti #1       |           586 | callyeinganti   | 204752.64999999997
  6006007 | corpcorp #7           |           754 | eseantiation    |          204489.94
  6003001 | exporticorp #1        |            66 | callycally      |          204282.53
  5002001 | importoscholar #1     |            25 | antiable        | 204096.37999999998
  2001002 | amalgimporto #2       |           217 | ationoughtable  | 203960.63999999998
  6002004 | importocorp #4        |            39 | n stpri         | 203372.25999999995
 10008005 | namelessunivamalg #5  |           786 | callyeingation  | 203259.76999999996
 10004003 | edu packunivamalg #3  |           286 | callyeingable   |          203062.81
  2002001 | importoimporto #1     |           602 | ablebarcally    |          203033.33
  9014002 | edu packunivamalg #2  |           174 | eseationought   |          202584.12
  5003001 | exportischolar #1     |           480 | bareingese      |          201831.43
  4004001 | edu packedu pack #1   |             1 | ought           | 201795.59000000003
  3001002 | amalgexporti #2       |           285 | antieingable    | 201780.17000000004
  8015003 | scholarmaxi #3        |            61 | oughtcally      | 201747.44999999995
  7001005 | amalgbrand #5         |           460 | barcallyese     |          201127.95
  4004002 | edu packedu pack #2   |           293 | prin stable     |          200964.42
  8014007 | edu packmaxi #7       |           231 | oughtpriable    |          200586.87
 10006011 | corpunivamalg #11     |            89 | n steing        | 200288.16999999998
  4001001 | amalgedu pack #1      |           605 | antibarcally    |          199983.64
  2004001 | edu packimporto #1    |           718 | eingoughtation  |          199641.15
  3004001 | edu packexporti #1    |            53 | prianti         | 199637.02000000002
  5003002 | exportischolar #2     |            94 | esen st         |          199598.07
 10003017 | exportiunivamalg #17  |           523 | priableanti     | 199597.02000000002
  7009004 | maxibrand #4          |            78 | eingation       |          199566.75
  3003001 | exportiexporti #1     |            92 | ablen st        |          199532.26
  6013003 | exportibrand #3       |            49 | n stese         |          199473.59
  5001001 | amalgscholar #1       |           335 | antipripri      | 199416.46000000002
  9002011 | importomaxi #11       |             3 | pri             |          198973.62
 10001012 | amalgunivamalg #12    |           742 | ableeseation    |          198856.13
  7005003 | scholarbrand #3       |           171 | oughtationought |          198489.76
 10009012 | maxiunivamalg #12     |           255 | antiantiable    | 198438.64000000004
  3003001 | exportiexporti #1     |           542 | ableeseanti     | 198175.84999999998
  8003009 | exportinameless #9    |           267 | ationcallyable  | 198062.25000000003
 10001005 | amalgunivamalg #5     |           723 | priableation    |          197813.82
 10006009 | corpunivamalg #9      |           275 | antiationable   | 197650.62999999995
  1004001 | edu packamalg #1      |           438 | eingpriese      |          197332.24
  2002001 | importoimporto #1     |           182 | ableeingought   | 197155.21999999997
  8014006 | edu packmaxi #6       |           993 | prin stn st     | 197072.43999999994
 10013002 | exportiamalgamalg #2  |            73 | priation        |          197062.18
(100 rows)

