 i_category | i_class |      i_brand      | s_store_name | s_company_name | d_moy |     sum_sales      | avg_monthly_sales  
 Men        | shirts  | importoimporto #1 | cally        | Unknown        |     2 | 185225.33999999994 |  340636.7141666666
 Women      | dresses | amalgamalg #1     | bar          | Unknown        |     7 | 217779.86999999994 | 372954.67583333305
 Women      | dresses | amalgamalg #1     | ese          | Unknown        |     3 | 203014.84999999998 |        358121.1975
 Men        | shirts  | importoimporto #1 | eing         | Unknown        |     6 |  208261.8500000001 |  363196.5183333335
 Men        | shirts  | importoimporto #1 | able         | Unknown        |     3 | 210533.94999999995 | 364935.63666666654
 Women      | dresses | amalgamalg #1     | eing         | Unknown        |     7 |  218982.5799999999 | 373189.18583333335
 Men        | shirts  | importoimporto #1 | ese          | Unknown        |     4 |  197169.6400000002 |  351348.0324999998
 Women      | dresses | amalgamalg #1     | ese          | Unknown        |     7 | 204200.58999999982 |        358121.1975
 Men        | shirts  | importoimporto #1 | able         | Unknown        |     4 |  211436.1599999999 | 364935.63666666654
 Women      | dresses | amalgamalg #1     | ese          | Unknown        |     4 | 204808.13000000027 |        358121.1975
 Men        | shirts  | importoimporto #1 | bar          | Unknown        |     3 |  214477.0399999999 |  366631.8475000001
 Men        | shirts  | importoimporto #1 | ese          | Unknown        |     5 |  200371.3399999997 |  351348.0324999998
 Women      | dresses | amalgamalg #1     | able         | Unknown        |     3 |           223779.8 |  374524.7283333333
 Men        | shirts  | importoimporto #1 | ese          | Unknown        |     7 |          200723.52 |  351348.0324999998
 Men        | shirts  | importoimporto #1 | cally        | Unknown        |     4 | 190032.22000000006 |  340636.7141666666
 Men        | shirts  | importoimporto #1 | bar          | Unknown        |     5 |          216490.93 |  366631.8475000001
 Women      | dresses | amalgamalg #1     | eing         | Unknown        |     5 | 223306.91000000027 | 373189.18583333335
 Men        | shirts  | importoimporto #1 | ese          | Unknown        |     3 | 202414.99999999983 |  351348.0324999998
 Women      | dresses | amalgamalg #1     | bar          | Unknown        |     5 | 224494.13000000012 | 372954.67583333305
 Men        | shirts  | importoimporto #1 | able         | Unknown        |     7 | 216695.45000000013 | 364935.63666666654
 Men        | shirts  | importoimporto #1 | eing         | Unknown        |     7 | 215003.68999999965 |  363196.5183333335
 Men        | shirts  | importoimporto #1 | bar          | Unknown        |     7 | 218456.11999999994 |  366631.8475000001
 Men        | shirts  | importoimporto #1 | eing         | Unknown        |     5 | 215424.40999999997 |  363196.5183333335
 Women      | dresses | amalgamalg #1     | cally        | Unknown        |     6 |  194476.8700000001 | 341984.93750000006
 Women      | dresses | amalgamalg #1     | cally        | Unknown        |     4 | 195074.26999999993 | 341984.93750000006
 Women      | dresses | amalgamalg #1     | cally        | Unknown        |     3 |  195080.7400000001 | 341984.93750000006
 Women      | dresses | amalgamalg #1     | ese          | Unknown        |     5 | 212631.13999999984 |        358121.1975
 Men        | shirts  | importoimporto #1 | cally        | Unknown        |     3 | 199837.34999999992 |  340636.7141666666
 Men        | shirts  | importoimporto #1 | cally        | Unknown        |     7 | 200440.82999999996 |  340636.7141666666
 Men        | shirts  | importoimporto #1 | cally        | Unknown        |     6 |          201116.81 |  340636.7141666666
 Women      | dresses | amalgamalg #1     | cally        | Unknown        |     5 |  202779.7300000001 | 341984.93750000006
 Men        | shirts  | importoimporto #1 | cally        | Unknown        |     5 | 202186.09000000008 |  340636.7141666666
 Women      | dresses | amalgamalg #1     | cally        | Unknown        |     7 | 205947.79999999993 | 341984.93750000006
 Women      | dresses | amalgamalg #1     | eing         | Unknown        |     1 |  258852.3100000004 | 373189.18583333335
 Men        | shirts  | importoimporto #1 | cally        | Unknown        |     1 | 227924.58000000016 |  340636.7141666666
 Women      | dresses | amalgamalg #1     | able         | Unknown        |     1 |  262432.1199999999 |  374524.7283333333
 Men        | shirts  | importoimporto #1 | ese          | Unknown        |     1 | 239448.73999999973 |  351348.0324999998
 Women      | dresses | amalgamalg #1     | bar          | Unknown        |     1 | 263912.26000000007 | 372954.67583333305
 Women      | dresses | amalgamalg #1     | cally        | Unknown        |     1 | 234892.68999999994 | 341984.93750000006
 Men        | shirts  | importoimporto #1 | able         | Unknown        |     1 | 259400.78999999995 | 364935.63666666654
 Men        | shirts  | importoimporto #1 | eing         | Unknown        |     1 | 259687.63000000003 |  363196.5183333335
 Men        | shirts  | importoimporto #1 | bar          | Unknown        |     1 | 263506.51999999984 |  366631.8475000001
 Women      | dresses | amalgamalg #1     | ese          | Unknown        |     1 |  256587.6600000001 |        358121.1975
 Women      | dresses | amalgamalg #2     | bar          | Unknown        |     2 |  98743.56999999998 |  191321.6033333333
 Women      | dresses | amalgamalg #1     | ation        | Unknown        |     2 | 101354.79000000008 | 192438.14666666673
 Men        | shirts  | importoimporto #1 | ation        | Unknown        |     2 | 100581.46999999996 | 189665.60750000007
 Women      | dresses | amalgamalg #2     | eing         | Unknown        |     2 |           103791.4 | 192241.38083333333
 Women      | dresses | amalgamalg #1     | n st         | Unknown        |     2 |           92550.09 |  179114.1616666665
 Women      | dresses | amalgamalg #2     | able         | Unknown        |     2 | 102902.22999999997 | 189395.04999999996
 Women      | dresses | amalgamalg #1     | ought        | Unknown        |     6 | 105606.04999999996 | 191951.40583333335
 Women      | dresses | amalgamalg #2     | ese          | Unknown        |     4 |  96711.93000000008 | 182486.09999999995
 Women      | dresses | amalgamalg #1     | ought        | Unknown        |     2 | 106378.73999999999 | 191951.40583333335
 Women      | dresses | amalgamalg #1     | ation        | Unknown        |     7 | 106991.09999999989 | 192438.14666666673
 Women      | dresses | amalgamalg #1     | ation        | Unknown        |     4 | 107141.54999999994 | 192438.14666666673
 Women      | dresses | amalgamalg #2     | cally        | Unknown        |     2 |  92328.68000000002 | 177436.14083333337
 Men        | shirts  | importoimporto #1 | ought        | Unknown        |     2 | 103248.06000000008 | 188007.82916666663
 Women      | dresses | amalgamalg #2     | eing         | Unknown        |     4 |          107571.21 | 192241.38083333333
 Women      | dresses | amalgamalg #2     | eing         | Unknown        |     3 | 107818.30999999994 | 192241.38083333333
 Women      | dresses | amalgamalg #1     | ation        | Unknown        |     6 |  108138.2800000001 | 192438.14666666673
 Women      | dresses | amalgamalg #2     | ese          | Unknown        |     2 |  98553.38999999998 | 182486.09999999995
 Women      | dresses | amalgamalg #1     | n st         | Unknown        |     6 |  95560.32000000004 |  179114.1616666665
 Men        | shirts  | importoimporto #1 | pri          | Unknown        |     6 |  95124.16999999998 |  178383.1116666667
 Men        | shirts  | importoimporto #1 | pri          | Unknown        |     2 |  95198.03999999998 |  178383.1116666667
 Men        | shirts  | importoimporto #2 | bar          | Unknown        |     2 |  90859.06999999998 | 174021.19333333324
 Women      | dresses | amalgamalg #2     | able         | Unknown        |     4 | 106491.34000000001 | 189395.04999999996
 Men        | shirts  | importoimporto #2 | able         | Unknown        |     2 |  91994.51000000002 |  174812.1616666667
 Men        | shirts  | importoimporto #1 | ation        | Unknown        |     3 |  107194.5500000001 | 189665.60750000007
 Women      | dresses | amalgamalg #1     | ought        | Unknown        |     4 | 109787.18000000005 | 191951.40583333335
 Women      | dresses | amalgamalg #2     | able         | Unknown        |     6 | 107502.76999999997 | 189395.04999999996
 Men        | shirts  | importoimporto #1 | ation        | Unknown        |     6 |  107974.2300000001 | 189665.60750000007
 Men        | shirts  | importoimporto #1 | ation        | Unknown        |     4 |          108002.78 | 189665.60750000007
 Women      | dresses | amalgamalg #1     | ought        | Unknown        |     3 | 110471.49000000002 | 191951.40583333335
 Women      | dresses | amalgamalg #2     | eing         | Unknown        |     5 | 110930.54999999999 | 192241.38083333333
(100 rows)

