 prev_year | year_ | i_brand_id | i_class_id | i_category_id | i_manufact_id | prev_yr_cnt | curr_yr_cnt | sales_cnt_diff |   sales_amt_diff    
      2001 |  2002 |    9014008 |         14 |             9 |           261 |       49129 |       43411 |          -5718 |  -312632.4200000027
      2001 |  2002 |    9005010 |          5 |             9 |           298 |       46901 |       41213 |          -5688 | -140679.00999999954
      2001 |  2002 |   10013001 |         13 |             9 |           521 |       48772 |       43089 |          -5683 | -107044.92999999947
      2001 |  2002 |    9016002 |         16 |             9 |            74 |       47069 |       41393 |          -5676 | -102927.18000000017
      2001 |  2002 |    9015002 |         15 |             9 |           979 |       47761 |       42087 |          -5674 | -328955.29000000097
      2001 |  2002 |    9016004 |          6 |             9 |            15 |       48281 |       42607 |          -5674 | -258093.87999999803
      2001 |  2002 |    9005008 |          5 |             9 |            68 |       47522 |       41854 |          -5668 | -145168.43000000017
      2001 |  2002 |    9016010 |         16 |             9 |           231 |       47913 |       42255 |          -5658 | -198577.72999999695
      2001 |  2002 |    9012004 |         12 |             9 |           238 |       48145 |       42499 |          -5646 |  -248499.0500000012
      2001 |  2002 |    9012004 |          3 |             9 |           176 |       49196 |       43559 |          -5637 | -233077.05000000098
      2001 |  2002 |    9007008 |          7 |             9 |           966 |       49673 |       44068 |          -5605 |  -448745.4400000011
      2001 |  2002 |    9012008 |         12 |             9 |           230 |       47826 |       42222 |          -5604 | -251377.66999999853
      2001 |  2002 |    9016004 |          1 |             9 |           223 |       47870 |       42283 |          -5587 |  -222170.6699999983
      2001 |  2002 |    6001003 |          1 |             9 |           226 |       49172 |       43589 |          -5583 | -108722.04000000167
      2001 |  2002 |    9009010 |          9 |             9 |            81 |       48695 |       43140 |          -5555 | -312471.62999999966
      2001 |  2002 |    9009002 |          9 |             9 |           172 |       46818 |       41263 |          -5555 | -182361.51000000024
      2001 |  2002 |    9012004 |          8 |             9 |           306 |       49029 |       43482 |          -5547 | -357400.84000000195
      2001 |  2002 |    9009002 |          9 |             9 |           242 |       45512 |       39971 |          -5541 | -277950.98000000115
      2001 |  2002 |    2003001 |          3 |             9 |           313 |       48083 |       42543 |          -5540 | -254892.22999999975
      2001 |  2002 |    4004001 |          7 |             9 |           992 |       50529 |       45012 |          -5517 | -308018.75000000116
      2001 |  2002 |    9008010 |          8 |             9 |            43 |       49274 |       43762 |          -5512 |          -336648.51
      2001 |  2002 |    9015002 |         15 |             9 |           347 |       50539 |       45051 |          -5488 |  -292192.8000000003
      2001 |  2002 |    7014005 |         16 |             9 |           125 |       50003 |       44518 |          -5485 | -436105.99000000115
      2001 |  2002 |    9004002 |          4 |             9 |           340 |       48592 |       43113 |          -5479 |  -441887.2499999986
      2001 |  2002 |    9004002 |          4 |             9 |           303 |       48097 |       42638 |          -5459 | -264089.54000000097
      2001 |  2002 |    9007002 |          7 |             9 |           580 |       48865 |       43406 |          -5459 | -224386.08000000403
      2001 |  2002 |    9011008 |         11 |             9 |            12 |       49240 |       43786 |          -5454 |  -455669.1299999987
      2001 |  2002 |    9003002 |          3 |             9 |           292 |       47619 |       42175 |          -5444 | -300958.98999999766
      2001 |  2002 |   10010001 |         10 |             9 |           135 |       45845 |       40422 |          -5423 |   -86680.3899999985
      2001 |  2002 |    9012008 |         12 |             9 |           630 |       51184 |       45812 |          -5372 | -159188.32000000286
      2001 |  2002 |    9002003 |         13 |             9 |           991 |       49829 |       44463 |          -5366 |  -312470.2999999991
      2001 |  2002 |    5004001 |          1 |             9 |           209 |       49107 |       43754 |          -5353 | -179054.97999999742
      2001 |  2002 |    9010004 |          3 |             9 |           948 |       47519 |       42198 |          -5321 | -257462.83999999985
      2001 |  2002 |    8001003 |         13 |             9 |            20 |       49668 |       44357 |          -5311 |  -313532.8500000015
      2001 |  2002 |    9008004 |          1 |             9 |           595 |       50559 |       45251 |          -5308 | -219450.96000000113
      2001 |  2002 |    1003001 |          9 |             9 |            64 |       47923 |       42643 |          -5280 | -150962.03000000073
      2001 |  2002 |    4003001 |          3 |             9 |            79 |       48144 |       42880 |          -5264 | -268125.15000000154
      2001 |  2002 |    9005002 |          5 |             9 |           395 |       48390 |       43138 |          -5252 | -218811.82000000193
      2001 |  2002 |    2001001 |          1 |             9 |            11 |       48059 |       42815 |          -5244 |  -330121.1800000011
      2001 |  2002 |    9014004 |          8 |             9 |           470 |       47981 |       42745 |          -5236 | -198829.71000000113
      2001 |  2002 |    9005008 |          5 |             9 |           168 |       48738 |       43539 |          -5199 |  -76875.95000000065
      2001 |  2002 |    9005010 |          2 |             9 |           287 |       46221 |       41026 |          -5195 |  2681.4099999966566
      2001 |  2002 |    9013002 |         13 |             9 |           137 |       47308 |       42124 |          -5184 |  -367419.4100000018
      2001 |  2002 |    9011004 |          2 |             9 |           470 |       44423 |       39246 |          -5177 | -235327.15999999852
      2001 |  2002 |    9008010 |          4 |             9 |           312 |       49384 |       44210 |          -5174 |  -372989.7899999975
      2001 |  2002 |    9006010 |          1 |             9 |           240 |       47560 |       42389 |          -5171 |  -151374.0500000012
      2001 |  2002 |    9011008 |         11 |             9 |           310 |       47521 |       42364 |          -5157 | -198445.56000000215
      2001 |  2002 |    9001002 |          1 |             9 |           111 |       46799 |       41643 |          -5156 | -113559.54999999865
      2001 |  2002 |    9003010 |          3 |             9 |           414 |       47510 |       42355 |          -5155 | -236159.47999999928
      2001 |  2002 |    9001008 |          1 |             9 |           302 |       48026 |       42874 |          -5152 | -367093.44999999856
      2001 |  2002 |    9014002 |         14 |             9 |            60 |       48482 |       43338 |          -5144 |   -78430.2900000019
      2001 |  2002 |    9007008 |          7 |             9 |           594 |       46363 |       41250 |          -5113 | -320081.52000000095
      2001 |  2002 |    9007003 |          7 |             9 |           558 |       49353 |       44245 |          -5108 |   40570.08999999985
      2001 |  2002 |    7006007 |          6 |             9 |           267 |       49575 |       44479 |          -5096 | -243179.11000000266
      2001 |  2002 |    2004001 |          4 |             9 |            27 |       47712 |       42618 |          -5094 | -432993.67999999947
      2001 |  2002 |    5004001 |         16 |             9 |           418 |       47733 |       42654 |          -5079 | -243614.29999999749
      2001 |  2002 |    9007002 |          7 |             9 |           581 |       46772 |       41695 |          -5077 |          -353896.77
      2001 |  2002 |    9014008 |         14 |             9 |           655 |       46648 |       41579 |          -5069 |  -235263.8900000006
      2001 |  2002 |    9016004 |          3 |             9 |           103 |       48773 |       43731 |          -5042 |  -193273.0400000019
(100 rows)

