 d_year | brand_id |        brand         |     ext_price      
   2000 |  9003008 | exportimaxi #8       |  714270.0400000002
   2000 |  9007008 | brandmaxi #8         |          689065.03
   2000 | 10015001 | scholaramalgamalg #1 |          687174.87
   2000 |  9009002 | maximaxi #2          |          684356.71
   2000 |  6013006 | exportibrand #6      |          681759.89
   2000 |  7010004 | univnameless #4      |  662304.7899999998
   2000 |  9004008 | edu packmaxi #8      |          655940.17
   2000 |  8009010 | maxinameless #10     |  647853.4900000002
   2000 |  7016001 | corpnameless #1      |  647530.2100000002
   2000 |  6010004 | univbrand #4         |          645737.91
   2000 |  9006009 | corpmaxi #9          |  643862.8300000001
   2000 |  6013002 | exportibrand #2      |          640798.51
   2000 |  6007006 | brandcorp #6         |          610431.03
   2000 |  6010007 | univbrand #7         |          598291.98
   2000 |  6010002 | univbrand #2         |  588443.4899999999
   2000 |  7009010 | maxibrand #10        |          545451.45
   2000 |  9014002 | edu packunivamalg #2 |  536615.7400000002
   2000 |  8003004 | exportinameless #4   |  533627.1400000001
   2000 |  7010008 | univnameless #8      |          531080.78
   2000 |  8007001 | brandnameless #1     |  530392.1799999999
   2000 |  9011009 | amalgunivamalg #9    |  528235.0100000001
   2000 | 10007015 | brandunivamalg #15   |  527986.3900000001
   2000 |  9013002 | exportiunivamalg #2  |  526374.9800000001
   2000 |  9002008 | importomaxi #8       |          525732.21
   2000 | 10005005 | scholarunivamalg #5  |          518551.35
   2000 |  8010009 | univmaxi #9          |          515435.77
   2000 |  9012003 | importounivamalg #3  |          514225.21
   2000 |  6014003 | edu packbrand #3     |          513899.37
   2000 |  7001005 | amalgbrand #5        | 503564.57999999996
   2000 |  8005009 | scholarnameless #9   | 502795.79000000004
   2000 |  6007007 | brandcorp #7         |  500682.9800000001
   2000 |  7015009 | scholarnameless #9   |          498750.12
   2000 |  7012009 | importonameless #9   | 497021.41000000003
   2000 |  6005001 | scholarcorp #1       | 495984.06000000006
   2000 |  9005009 | scholarmaxi #9       |  494981.3500000001
   2000 | 10016001 | corpamalgamalg #1    |           483610.9
   2000 |  7012010 | importonameless #10  | 482485.19000000006
   2000 |  6003003 | exporticorp #3       | 479717.80000000005
   2000 |  9002003 | importomaxi #3       |  479025.8899999999
   2000 |  8006009 | corpnameless #9      |  472289.7100000001
   2000 |  8015006 | scholarmaxi #6       |          470275.48
   2000 |  7007010 | brandbrand #10       | 469365.54999999993
   2000 | 10009013 | maxiunivamalg #13    |          469102.59
   2000 |  9013012 | exportiunivamalg #12 | 466331.47000000003
   2000 |  9001003 | amalgmaxi #3         |          462236.67
   2000 |  7004004 | edu packbrand #4     |          456457.87
   2000 |  8008007 | namelessnameless #7  | 455669.60999999987
   2000 |  7014002 | edu packnameless #2  | 454031.62999999995
   2000 |  7003004 | exportibrand #4      |          452559.89
   2000 |  6015006 | scholarbrand #6      | 447666.15000000014
   2000 |  8003003 | exportinameless #3   | 442984.79000000004
   2000 | 10013002 | exportiamalgamalg #2 |          438818.99
   2000 |  8008003 | namelessnameless #3  | 437961.42999999993
   2000 |  9010009 | univunivamalg #9     | 436986.64999999997
(100 rows)

