 channel |  item  |      return_ratio      | return_rank | currency_rank 
 store   | 103277 | 0.00000000000000000000 |           1 |           186
 store   |  70439 | 0.00000000000000000000 |           1 |           188
 store   | 108849 | 0.00000000000000000000 |           1 |           246
 store   | 106875 | 0.00000000000000000000 |           1 |           340
 store   | 112007 | 0.00000000000000000000 |           1 |           394
 store   | 127201 | 0.00000000000000000000 |           1 |           551
 store   | 151677 | 0.00000000000000000000 |           1 |           581
 store   | 166347 | 0.00000000000000000000 |           1 |           845
 store   | 110613 | 0.00000000000000000000 |           1 |           926
 store   | 154411 | 0.00000000000000000000 |           1 |           941
 store   | 120379 | 0.00000000000000000000 |           1 |           995
 store   | 155513 | 0.00000000000000000000 |           1 |          1018
 store   |  91403 | 0.00000000000000000000 |           1 |          1029
 store   | 172639 | 0.00000000000000000000 |           1 |          1035
 store   | 110631 | 0.00000000000000000000 |           1 |          1048
 store   |  44805 | 0.00000000000000000000 |           1 |          1062
 store   | 147831 | 0.00000000000000000000 |           1 |          1125
 store   | 162061 | 0.00000000000000000000 |           1 |          1156
 store   | 151297 | 0.00000000000000000000 |           1 |          1277
 store   | 104263 | 0.00000000000000000000 |           1 |          1307
 store   |  99425 | 0.58000000000000000000 |          25 |             1
 store   | 125879 | 0.61290322580645161290 |          27 |             2
 store   |  60163 | 0.61616161616161616162 |          28 |             3
 store   |    683 | 0.62365591397849462366 |          29 |             4
 store   |  93445 | 0.63636363636363636364 |          31 |             5
 store   | 133007 | 0.63917525773195876289 |          32 |             6
 store   | 127091 | 0.64000000000000000000 |          33 |             7
 store   |  23227 | 0.64516129032258064516 |          34 |             8
 store   | 135571 | 0.64646464646464646465 |          35 |             9
 store   |   3821 | 0.64948453608247422680 |          36 |            10
 web     |  80261 | 0.00000000000000000000 |           1 |             3
 web     |  13899 | 0.00000000000000000000 |           1 |            41
 web     | 145765 | 0.00000000000000000000 |           1 |           158
 web     |  41295 | 0.00000000000000000000 |           1 |           181
 web     | 102749 | 0.00000000000000000000 |           1 |           199
 web     | 189999 | 0.00000000000000000000 |           1 |           213
 web     | 174199 | 0.00000000000000000000 |           1 |           317
 web     |  92479 | 0.00000000000000000000 |           1 |           350
 web     | 110569 | 0.00000000000000000000 |           1 |           376
 web     | 127129 | 0.00000000000000000000 |           1 |           411
 web     |  72083 | 0.00000000000000000000 |           1 |           419
 web     | 101963 | 0.00000000000000000000 |           1 |           466
 web     |  37107 | 0.00000000000000000000 |           1 |           608
 web     |  26395 | 0.00000000000000000000 |           1 |           644
 web     |  21741 | 0.00000000000000000000 |           1 |           695
 web     | 145483 | 0.00000000000000000000 |           1 |           728
 web     |  26995 | 0.00000000000000000000 |           1 |           782
 web     |  72379 | 0.00000000000000000000 |           1 |           784
 web     | 173095 | 0.00000000000000000000 |           1 |           797
 web     |  78391 | 0.00000000000000000000 |           1 |           806
 web     | 198191 | 0.00000000000000000000 |           1 |           893
 web     | 130395 | 0.00000000000000000000 |           1 |           925
(100 rows)

