 c_last_name | c_first_name |  ca_city   |   bought_city   | ss_ticket_number |        amt         |       profit        
             |              | Ashland    | Superior        |         12024272 |                  0 |           -26358.61
             |              | Ashland    | Wildwood        |         19243389 |  5761.620000000001 |           -21209.93
             |              | Ashley     | Greenwood       |         23626575 |            2624.32 |           -18991.59
             |              | Bath       | Cedar Grove     |         14360688 |            3091.17 |            -9251.57
             |              | Bath       | Central         |          1149029 | 1616.2800000000002 |           -18734.98
             |              | Bath       | Newport         |         22399474 |  738.0799999999999 |  -5638.440000000001
             |              | Bay View   | Cedar Grove     |          8048785 |              52.22 |            -1745.83
             |              | Bayside    | Glenwood        |         12472031 |             473.85 |   614.9399999999994
             |              | Bayview    | Fairfield       |         23180952 | 3815.1899999999996 |           -14923.25
             |              | Bayview    | Greenville      |         18989949 |             557.89 |           -13487.77
             |              | Bayview    | Kensington      |          3148035 |                  0 |   705.3100000000002
             |              | Bear Creek | Bunker Hill     |          3723188 |            2118.34 |            -9273.05
             |              | Bear Creek | Farmington      |         20464301 |            1442.41 | -13032.210000000001
             |              | Belfast    | Walnut Grove    |         16860518 |            8547.15 |           -22821.51
             |              | Belleview  | Arlington       |         21593488 |            2727.08 |           -14109.02
             |              | Belleview  | Fairfield       |          8838704 |                  0 |  -5484.619999999999
             |              | Belleville | Lincoln         |         14254836 |            1228.09 | -2619.3599999999988
             |              | Belleville | Oakdale         |          6292355 |            6581.33 |           -16912.93
             |              | Belleville | Riverview       |         18110943 |            1834.99 |           -14898.55
(100 rows)

