     gross_margin     | i_category  |     i_class     | lochierarchy | rank_within_parent |   case   
  -0.3279676947019614 |             | shirts          |            0 |                 56 | 
 -0.29653663088500865 |             | travel          |            0 |                 57 | 
 -0.29641624807635797 |             | accessories     |            0 |                 58 | 
  -0.2909832037875732 |             | estate          |            0 |                 59 | 
  -0.2841064210049307 |             | disk drives     |            0 |                 60 | 
  -0.2619790683087594 |             | curtains/drapes |            0 |                 61 | 
  -0.2545765724140841 |             | basketball      |            0 |                 62 | 
 -0.25302856763803905 |             | televisions     |            0 |                 63 | 
 -0.22283343579982692 |             | fishing         |            0 |                 64 | 
 -0.20141117734549807 |             | musical         |            0 |                 65 | 
 -0.13870513155016317 |             | science         |            0 |                 66 | 
  -0.4454340764875736 | Books       | sports          |            0 |                  1 | Books
 -0.44382358494304697 | Books       | arts            |            0 |                  2 | Books
  -0.4422529351092047 | Books       | fiction         |            0 |                  3 | Books
 -0.44017830575630235 | Books       | self-help       |            0 |                  4 | Books
 -0.44007637997764093 | Books       | business        |            0 |                  5 | Books
 -0.43951452188748147 | Books       | computers       |            0 |                  6 | Books
  -0.4372481014620153 | Books       | travel          |            0 |                  7 | Books
 -0.43604904054402316 | Books       | parenting       |            0 |                  8 | Books
  -0.4360250562781198 | Books       | science         |            0 |                  9 | Books
  -0.4352501467456902 | Books       | home repair     |            0 |                 10 | Books
  -0.4346367777567527 | Books       | cooking         |            0 |                 11 | Books
  -0.4309089819177557 | Books       | entertainments  |            0 |                 12 | Books
  -0.4284853677923844 | Books       | reference       |            0 |                 13 | Books
 -0.42805032113049907 | Books       | history         |            0 |                 14 | Books
 -0.42425882500170214 | Books       | romance         |            0 |                 15 | Books
 -0.41998721728465427 | Books       | mystery         |            0 |                 16 | Books
 -0.39686582292827943 | Books       |                 |            0 |                 17 | Books
 -0.45493755594008434 | Children    |                 |            0 |                  1 | Children
 -0.43705936619388275 | Children    | newborn         |            0 |                  2 | Children
 -0.43538802845944563 | Children    | infants         |            0 |                  3 | Children
 -0.43391061708790885 | Children    | school-uniforms |            0 |                  4 | Children
 -0.43047443509066347 | Children    | toddlers        |            0 |                  5 | Children
(100 rows)

