        i_product_name        |       i_brand       |    i_class     | i_category  |         qoh          
 oughtn stcallyantieing       | importonameless #2  | paint          |             | 462.9273972602739726
 oughtn stcallyantieing       | importonameless #2  | paint          | Home        | 462.9273972602739726
 oughtablebarbarn stought     |                     |                |             | 463.0596205962059621
 oughtablebarbarn stought     | exportischolar #2   |                |             | 463.0596205962059621
 oughtablebarbarn stought     | exportischolar #2   | pop            |             | 463.0596205962059621
 oughtablebarbarn stought     | exportischolar #2   | pop            | Music       | 463.0596205962059621
 prieingationablebarable      |                     |                |             | 463.0945945945945946
 prieingationablebarable      | importoexporti #2   |                |             | 463.0945945945945946
 prieingationablebarable      | importoexporti #2   | infants        |             | 463.0945945945945946
 prieingationablebarable      | importoexporti #2   | infants        | Children    | 463.0945945945945946
 n stationeseesecallyought    |                     |                |             | 463.1835357624831309
 n stationeseesecallyought    | corpnameless #10    |                |             | 463.1835357624831309
 n stationeseesecallyought    | corpnameless #10    | furniture      |             | 463.1835357624831309
 n stationeseesecallyought    | corpnameless #10    | furniture      | Home        | 463.1835357624831309
 eingableantieingcally        |                     |                |             | 463.2405405405405405
 eingableantieingcally        | importoimporto #1   |                |             | 463.2405405405405405
 eingableantieingcally        | importoimporto #1   | shirts         |             | 463.2405405405405405
 eingableantieingcally        | importoimporto #1   | shirts         | Men         | 463.2405405405405405
 ationantieseeinganti         |                     |                |             | 463.4541778975741240
 ationantieseeinganti         | exportimaxi #8      |                |             | 463.4541778975741240
 ationantieseeinganti         | exportimaxi #8      | sailing        |             | 463.4541778975741240
 ationantieseeinganti         | exportimaxi #8      | sailing        | Sports      | 463.4541778975741240
(100 rows)

