 i_category |       i_brand       |       cc_name       | d_year | d_moy | avg_monthly_sales  |     sum_sales      |        psum        |        nsum        |      ?column?       
 Music      | importoscholar #2   | Pacific Northwest_1 |   1999 |     2 |  65672.18250000001 |           31404.75 | 39293.729999999996 |           36635.58 |  -34267.43250000001
 Music      | exportischolar #2   | NY Metro_1          |   1999 |     7 |  67479.53166666666 |           33336.16 |  36273.05000000001 |           91080.81 |  -34143.37166666666
 Children   | edu packexporti #2  | Mid Atlantic        |   1999 |     2 |  65204.47000000001 | 31063.900000000005 |  37629.83000000001 | 35450.209999999985 |  -34140.57000000001
 Women      | amalgamalg #2       | Hawaii/Alaska_1     |   1999 |     4 |  67020.13083333334 |  33029.24000000001 |           40646.22 |           39396.32 |  -33990.89083333333
 Children   | importoexporti #2   | Pacific Northwest_1 |   1999 |     2 |  66998.05416666667 | 33075.640000000014 | 38378.110000000015 |  39814.79000000001 | -33922.414166666655
 Music      | amalgscholar #2     | Pacific Northwest   |   1999 |     2 |           66121.48 |  32281.04999999999 | 43415.269999999975 |  41142.69000000001 |  -33840.43000000001
 Children   | importoexporti #2   | Hawaii/Alaska_1     |   1999 |     2 |  65919.49500000001 |  32090.10999999999 |  39358.94999999998 |  33606.57999999997 | -33829.385000000024
 Music      | amalgscholar #2     | Mid Atlantic        |   1999 |     2 |  66149.24166666665 | 32368.620000000006 |  37654.71000000002 |           36240.17 | -33780.621666666644
 Music      | amalgscholar #2     | NY Metro_2          |   1999 |     2 |  66590.52083333333 |  33198.61000000003 | 38977.049999999996 |  36501.76999999999 |   -33391.9108333333
 Shoes      | importoedu pack #2  | NY Metro_2          |   1999 |     2 |  63682.42916666666 |            30343.9 |           38068.82 |           33814.28 |  -33338.52916666666
 Children   | importoexporti #2   | NY Metro_2          |   1999 |     4 |  66515.34916666667 |  33236.56999999999 |  38908.24000000001 | 37712.809999999976 | -33278.779166666674
 Shoes      | amalgedu pack #2    | NY Metro            |   1999 |     2 |  66438.02500000001 |  33163.90000000001 |           41311.11 | 39116.469999999994 |          -33274.125
 Music      | amalgscholar #2     | NY Metro_1          |   1999 |     2 |  65686.11166666666 | 32555.149999999994 |  40356.95000000001 |  40884.05999999998 |  -33130.96166666667
 Shoes      | amalgedu pack #2    | Pacific Northwest   |   1999 |     2 |  64912.91500000001 |           32024.32 | 40193.750000000015 |           32823.38 |  -32888.59500000001
 Children   | edu packexporti #2  | Mid Atlantic_1      |   1999 |     2 | 63648.790833333325 | 30802.269999999986 | 37028.950000000004 |  35706.13999999998 |  -32846.52083333334
 Music      | importoscholar #2   | Mid Atlantic        |   1999 |     2 |          64011.535 | 31946.500000000007 |           38668.64 |  32497.52000000001 | -32065.034999999996
 Children   | edu packexporti #2  | Mid Atlantic_2      |   1999 |     2 |  63828.30416666666 | 31799.739999999998 | 38141.149999999994 |  37501.48999999999 | -32028.564166666663
 Men        | edu packimporto #2  | Pacific Northwest   |   1999 |     2 |  62391.02333333334 |            30392.6 | 36778.270000000004 |  35316.84000000001 |  -31998.42333333334
 Shoes      | importoedu pack #2  | California_1        |   1999 |     2 |  62751.20666666666 | 30772.239999999994 |  37772.26000000001 |  36546.61999999999 | -31978.966666666664
 Children   | amalgexporti #2     | Mid Atlantic_1      |   1999 |     2 |  61748.76583333333 |  29918.34999999999 | 35627.430000000015 |           34437.41 |  -31830.41583333334
 Men        | exportiimporto #2   | Pacific Northwest_1 |   1999 |     6 | 60418.405833333345 |  28615.34000000001 |            36403.5 |           35844.06 | -31803.065833333334
 Men        | importoimporto #2   | Hawaii/Alaska_1     |   1999 |     4 |  62427.68083333335 |  30650.55999999999 | 35787.310000000005 |            38332.2 | -31777.120833333356
 Men        | edu packimporto #2  | Hawaii/Alaska       |   1999 |     2 |  61844.56083333333 |           30157.39 |  35243.73999999999 |  34825.81999999999 |  -31687.17083333333
 Men        | importoimporto #2   | California_1        |   1999 |     2 |  62074.63500000001 | 30594.989999999998 | 38241.360000000015 |           36948.57 |  -31479.64500000001
 Men        | importoimporto #2   | Mid Atlantic        |   1999 |     2 |         61449.5525 |           30008.81 | 37140.770000000004 |           34540.86 | -31440.742499999997
 Men        | importoimporto #2   | Hawaii/Alaska       |   1999 |     2 |  61616.24833333336 | 30471.369999999995 |           38999.03 |  35459.94000000001 | -31144.878333333363
 Men        | exportiimporto #2   | NY Metro_2          |   1999 |     2 |  59082.33166666666 | 28630.130000000005 |  36069.42999999999 | 33639.080000000016 | -30452.201666666653
 Books      | exportiunivamalg #9 | NY Metro_1          |   1999 |     4 |          9714.2575 | 2994.6799999999994 |            5256.14 |  4494.280000000001 |          -6719.5775
 Jewelry    | corpbrand #3        | Pacific Northwest   |   1999 |     2 | 10941.308333333334 |            4633.09 |            8039.42 |  5503.679999999999 |  -6308.218333333334
 Books      | importomaxi #3      | Mid Atlantic        |   1999 |     2 |  9605.621666666668 | 3446.1800000000003 |            5076.38 |  4981.849999999999 | -6159.4416666666675
 Books      | brandmaxi #3        | Hawaii/Alaska_1     |   1999 |     1 |  9665.650000000001 |            3607.93 |           16525.32 |  6828.079999999999 |  -6057.720000000001
 Books      | exportiunivamalg #9 | California          |   1999 |     2 | 10414.886666666667 |            4380.74 |  6299.599999999999 | 5990.1900000000005 |  -6034.146666666667
 Jewelry    | corpbrand #3        | NY Metro_1          |   1999 |     6 |         10032.8175 | 4041.1500000000005 |  6587.900000000001 |            6461.93 |  -5991.667499999999
 Books      | scholarmaxi #9      | Mid Atlantic_2      |   1999 |     6 |  9401.873333333335 |            3410.33 | 7500.0999999999985 |            5479.44 |  -5991.543333333335
 Books      | maximaxi #3         | Hawaii/Alaska       |   1999 |     2 |  9560.016666666666 | 3580.1000000000004 |  6206.450000000001 |  5900.450000000002 |  -5979.916666666666
 Books      | exportiunivamalg #9 | Mid Atlantic        |   1999 |     2 |  9916.031666666668 | 3968.1600000000003 |  6784.449999999999 | 5844.0599999999995 |  -5947.871666666668
 Books      | scholarmaxi #11     | Hawaii/Alaska       |   1999 |     2 |  8846.923333333332 |            2899.16 |            4959.77 |  5816.790000000001 |  -5947.763333333332
 Books      | importounivamalg #2 | NY Metro_2          |   1999 |     4 |  9398.396666666667 | 3455.4700000000003 |  6226.450000000001 |             5482.5 |  -5942.926666666667
 Books      | brandmaxi #3        | North Midwest_1     |   1999 |     2 |  10090.86166666667 |  4171.780000000001 |            5914.55 |  5413.200000000001 |  -5919.081666666669
 Books      | exportiunivamalg #9 | Pacific Northwest   |   1999 |     2 |  9880.989166666666 |             3976.5 |            5317.78 |            5898.21 |  -5904.489166666666
 Jewelry    | corpbrand #3        | Pacific Northwest   |   1999 |     4 | 10941.308333333334 |            5061.39 | 5503.6799999999985 |  7144.849999999999 |  -5879.918333333334
 Jewelry    | namelesscorp #3     | Mid Atlantic_1      |   1999 |     2 |  9010.020833333334 | 3163.2700000000004 | 3851.2599999999993 |  5827.170000000001 | -5846.7508333333335
 Jewelry    | corpbrand #3        | California_1        |   1999 |     2 | 10581.377499999999 |  4752.009999999998 |  7908.680000000002 |  6762.800000000001 |          -5829.3675
 Jewelry    | namelesscorp #3     | North Midwest_2     |   1999 |     4 |  9541.000833333334 | 3716.2899999999995 |  5137.959999999999 |  5303.579999999999 |  -5824.710833333334
 Books      | importounivamalg #8 | North Midwest_2     |   1999 |     2 |  9641.022500000001 |             3822.5 |  6239.139999999999 |  4432.179999999999 |  -5818.522500000001
 Books      | brandmaxi #8        | Mid Atlantic_2      |   1999 |     7 | 10038.039166666667 |  4227.110000000001 |  5193.539999999999 |           13418.74 |  -5810.929166666667
 Books      | edu packmaxi #3     | Mid Atlantic        |   1999 |     2 |  8862.718333333334 |            3101.42 | 5970.8899999999985 | 5798.0599999999995 |  -5761.298333333334
 Books      | brandmaxi #8        | Hawaii/Alaska       |   1999 |     4 |           9735.305 |            3976.21 |  7175.939999999999 |            5297.45 |           -5759.095
 Jewelry    | maxicorp #1         | NY Metro_1          |   1999 |     7 |           10049.07 |  4300.400000000001 |  6339.049999999999 | 14002.029999999999 |  -5748.669999999999
 Books      | corpmaxi #5         | Mid Atlantic        |   1999 |     5 |  9119.112500000001 |            3378.19 | 5555.9000000000015 | 5738.3099999999995 |  -5740.922500000001
 Jewelry    | importobrand #7     | North Midwest       |   1999 |     2 |  9569.784166666666 | 3830.7599999999993 |  5540.850000000001 |            4433.63 |  -5739.024166666667
 Jewelry    | univbrand #7        | Hawaii/Alaska_1     |   1999 |     2 |  9461.220000000001 | 3725.7999999999997 |  5887.380000000001 |            5101.25 |  -5735.420000000002
 Jewelry    | amalgcorp #5        | North Midwest       |   1999 |     3 |  9278.937500000002 | 3544.1299999999997 |            4846.52 |            6808.11 |  -5734.807500000003
 Books      | amalgmaxi #3        | Pacific Northwest   |   1999 |     2 |  9718.415833333334 | 3992.7699999999995 |            6986.73 |            5132.02 |  -5725.645833333335
 Books      | scholarmaxi #3      | NY Metro_2          |   1999 |     2 |  9132.242500000002 | 3411.7700000000004 |            5808.89 |            4314.08 |  -5720.472500000002
 Jewelry    | corpbrand #3        | North Midwest       |   1999 |     5 | 10405.498333333333 | 4688.0599999999995 |  5927.349999999999 |            6409.52 | -5717.4383333333335
 Books      | exportimaxi #5      | Mid Atlantic        |   1999 |     2 |  9087.286666666667 |            3370.09 |  5264.540000000001 |            4793.21 |  -5717.196666666667
 Books      | amalgmaxi #11       | Hawaii/Alaska_1     |   1999 |     3 |  9123.773333333333 | 3422.8499999999995 |            6201.86 |            4545.87 |  -5700.923333333333
 Jewelry    | corpcorp #1         | Mid Atlantic        |   1999 |     3 |  9793.246666666666 |            4094.32 |  5650.249999999999 |            4929.89 |  -5698.926666666666
 Jewelry    | importobrand #1     | Mid Atlantic_2      |   1999 |     2 |  9171.533333333333 |            3483.49 |            5051.92 |  6478.789999999999 |  -5688.043333333333
 Books      | edu packmaxi #2     | North Midwest       |   1999 |     2 |            9197.62 | 3521.5899999999992 |  5785.450000000002 |  5607.060000000001 |  -5676.030000000002
 Books      | scholarmaxi #3      | North Midwest_1     |   1999 |     2 |           9295.755 | 3630.0599999999995 |            6154.54 |            5093.17 |           -5665.695
 Jewelry    | corpbrand #3        | Pacific Northwest   |   1999 |     6 | 10941.308333333334 |  5275.620000000001 |            7144.85 |  7460.629999999999 | -5665.6883333333335
 Books      | amalgmaxi #3        | North Midwest       |   1999 |     3 |           9683.505 | 4029.0199999999995 |            4756.85 |  6251.369999999999 |           -5654.485
 Books      | scholarmaxi #9      | California_1        |   1999 |     4 |  9546.701666666668 |            3898.04 |            5267.38 |            4862.79 |  -5648.661666666668
 Books      | scholarmaxi #8      | Mid Atlantic_1      |   1999 |     2 |  9169.286666666667 | 3523.5499999999997 |            5493.39 |  5769.110000000001 |  -5645.736666666668
 Books      | importounivamalg #2 | NY Metro_1          |   1999 |     4 |          9674.2475 | 4031.2799999999997 |  6306.860000000001 | 6803.5599999999995 |          -5642.9675
 Books      | amalgmaxi #3        | Mid Atlantic_1      |   1999 |     2 |           8995.635 |            3355.29 | 6364.8099999999995 |               4300 |           -5640.345
 Books      | importounivamalg #2 | North Midwest_1     |   1999 |     4 |  9570.116666666667 |            3930.58 |  5717.619999999999 |            5704.49 |  -5639.536666666667
 Books      | corpmaxi #9         | Mid Atlantic_2      |   1999 |     6 |  9063.925000000001 | 3429.1800000000003 |  6620.140000000001 |            5565.37 |  -5634.745000000001
 Jewelry    | importocorp #1      | North Midwest       |   1999 |     2 |  8636.240833333335 | 3005.1000000000004 | 6722.0599999999995 | 3563.4799999999996 |  -5631.140833333335
 Books      | brandmaxi #3        | California_1        |   1999 |     7 |  9654.975833333332 |            4042.92 |            5793.17 | 11306.260000000002 |  -5612.055833333332
 Jewelry    | univbrand #7        | NY Metro_1          |   1999 |     4 |  9419.220000000001 |            3807.67 |            5636.02 |  5087.959999999999 |  -5611.550000000001
 Books      | importomaxi #3      | Hawaii/Alaska_1     |   1999 |     2 |  9053.708333333334 |  3443.080000000001 |            5113.99 |            4756.43 |  -5610.628333333333
 Books      | edu packmaxi #2     | NY Metro_2          |   1999 |     2 |  9441.120833333332 | 3835.3899999999994 | 5271.0599999999995 |  5850.799999999999 |  -5605.730833333333
 Jewelry    | maxicorp #7         | Mid Atlantic_2      |   1999 |     2 |  8845.969166666666 | 3242.7699999999995 |            5546.68 |            5920.25 |  -5603.199166666666
 Books      | univunivamalg #8    | Pacific Northwest   |   1999 |     4 |  9495.860833333332 |            3895.73 |  5864.030000000001 |  6040.890000000001 |  -5600.130833333333
 Books      | importounivamalg #8 | Hawaii/Alaska_1     |   1999 |     4 |  9536.404166666667 | 3948.2199999999993 |             6253.1 |  5994.450000000001 |  -5588.184166666668
 Jewelry    | univbrand #7        | Pacific Northwest   |   1999 |     2 |  8671.391666666666 | 3091.0400000000004 |             5880.6 |            4656.72 |  -5580.351666666666
 Books      | exportiunivamalg #9 | NY Metro_2          |   1999 |     2 |  9610.129166666668 | 4035.8899999999994 |            4453.28 |  5845.780000000001 |  -5574.239166666668
 Books      | corpmaxi #9         | Pacific Northwest_1 |   1999 |     2 |  9548.455833333333 | 3978.9800000000005 |            4652.64 |  4524.139999999999 |  -5569.475833333333
 Books      | univunivamalg #8    | California          |   1999 |     3 |           9462.065 |            3892.99 |  5351.360000000001 |  5751.889999999999 |  -5569.075000000001
 Books      | brandmaxi #8        | North Midwest_2     |   1999 |     6 |  9755.404999999999 |  4197.280000000001 |  7007.539999999999 |             5975.2 |  -5558.124999999998
 Jewelry    | univbrand #7        | California_1        |   1999 |     2 |  8906.651666666667 | 3353.7299999999996 |            4766.28 |  5558.499999999999 |  -5552.921666666667
 Jewelry    | maxicorp #1         | Mid Atlantic        |   1999 |     1 | 10086.425833333333 |            4534.86 |           20376.31 |            5305.33 |  -5551.565833333333
(100 rows)

