 i_category  |  i_class  |        i_brand        | s_store_name | s_company_name | d_moy |     sum_sales      | avg_monthly_sales  |      ?column?       
 Men         | shirts    | importoimporto #1     | ese          |                |     2 |            6405.16 | 13423.070833333333 |  -7017.910833333333
 Sports      | football  | corpnameless #2       | bar          | Unknown        |     2 | 5866.4400000000005 | 12865.957499999999 |  -6999.517499999998
 Women       | dresses   | amalgamalg #1         | ese          |                |     3 |  6778.719999999999 | 13579.259999999997 |  -6800.539999999997
 Jewelry     | birdal    | amalgcorp #2          | bar          | Unknown        |     2 |  6638.119999999999 |           13392.93 |  -6754.810000000001
 Sports      | football  | corpnameless #2       | eing         | Unknown        |     2 | 6327.3499999999985 |           13059.96 |  -6732.610000000001
 Books       | computers | exportimaxi #5        | anti         | Unknown        |     2 |            5565.52 | 12253.196666666669 |  -6687.676666666668
 Books       | computers | exportimaxi #8        | pri          | Unknown        |     2 |             4958.3 | 11625.233333333332 |  -6666.933333333332
 Books       | computers | exportimaxi #5        | ation        | Unknown        |     2 |            6369.66 | 13020.589166666665 |  -6650.929166666665
 Sports      | football  | corpnameless #2       | eing         | Unknown        |     4 |  6501.120000000001 |           13059.96 |  -6558.839999999998
 Books       | computers | exportimaxi #11       | ought        | Unknown        |     2 |            4950.51 |          11481.025 |  -6530.514999999999
 Jewelry     | birdal    | amalgcorp #7          | n st         | Unknown        |     5 |            4465.59 |          10977.495 |  -6511.905000000001
 Sports      | football  | corpnameless #8       | bar          | Unknown        |     3 |            4910.54 |         11402.6275 |  -6492.087500000001
 Jewelry     | birdal    | amalgcorp #8          | able         | Unknown        |     4 |            5212.52 | 11562.850833333336 |  -6350.330833333335
 Books       | computers | exportimaxi #8        | pri          | Unknown        |     4 | 5302.5199999999995 | 11625.233333333332 |  -6322.713333333332
 Books       | computers | exportimaxi #11       | ation        | Unknown        |     2 |  5965.839999999999 |           12213.38 |            -6247.54
 Jewelry     | birdal    | amalgcorp #4          | eing         | Unknown        |     2 |  4780.469999999999 |         10991.9975 |          -6211.5275
 Jewelry     | birdal    | amalgcorp #7          | ought        | Unknown        |     2 |  6050.290000000001 | 12255.274166666668 |  -6204.984166666667
 Sports      | football  | corpnameless #8       | bar          | Unknown        |     2 |            5268.65 |         11402.6275 |  -6133.977500000001
 Jewelry     | birdal    | amalgcorp #1          | ought        | Unknown        |     6 |  5503.169999999999 | 11617.384166666665 |  -6114.214166666666
 Jewelry     | birdal    | amalgcorp #7          | anti         | Unknown        |     6 |            4858.59 |           10949.13 |  -6090.539999999999
 Jewelry     | birdal    | amalgcorp #1          | ation        | Unknown        |     6 |  5364.379999999999 | 11451.461666666668 |  -6087.081666666669
 Sports      | football  | corpnameless #2       | cally        | Unknown        |     4 |  6025.129999999998 | 12069.945833333333 |  -6044.815833333335
 Books       | computers | exportimaxi #5        | pri          | Unknown        |     5 |  6032.329999999999 | 12075.599999999999 | -6043.2699999999995
 Jewelry     | birdal    | amalgcorp #5          | anti         | Unknown        |     6 |            5931.73 | 11929.203333333333 |  -5997.473333333333
 Jewelry     | birdal    | amalgcorp #8          | cally        | Unknown        |     2 |  4529.370000000001 | 10506.665833333333 |  -5977.295833333332
 Books       | computers | exportimaxi #2        | ought        | Unknown        |     3 |            5609.62 | 11554.261666666665 | -5944.6416666666655
 Jewelry     | birdal    | amalgcorp #1          | n st         | Unknown        |     2 |  4684.030000000001 | 10555.555833333334 |  -5871.525833333333
 Electronics | stereo    | exportiamalgamalg #12 | eing         | Unknown        |     7 |            5024.72 | 10862.543333333333 |  -5837.823333333333
 Jewelry     | birdal    | amalgcorp #1          | ought        | Unknown        |     2 |  5787.129999999999 | 11617.384166666665 |  -5830.254166666666
 Books       | computers | exportimaxi #11       | anti         | Unknown        |     3 |  5170.610000000001 | 10979.138333333334 |  -5808.528333333334
 Jewelry     | birdal    | amalgcorp #4          | bar          | Unknown        |     6 |  5008.840000000001 | 10812.378333333334 |  -5803.538333333333
 Sports      | football  | corpnameless #5       | ation        | Unknown        |     2 |            4315.16 | 10061.188333333334 |  -5746.028333333334
 Jewelry     | birdal    | amalgcorp #6          | bar          | Unknown        |     6 |  5430.240000000001 | 11144.130833333335 |  -5713.890833333334
 Sports      | football  | corpnameless #8       | cally        | Unknown        |     5 |  4793.479999999999 | 10491.555833333334 |  -5698.075833333335
 Jewelry     | birdal    | amalgcorp #8          | eing         | Unknown        |     3 | 5332.0199999999995 | 11022.375833333334 |  -5690.355833333334
 Books       | computers | exportimaxi #2        | anti         | Unknown        |     5 |  4921.700000000001 | 10611.112499999997 |  -5689.412499999997
 Electronics | stereo    | exportiamalgamalg #12 | able         | Unknown        |     3 |            4858.59 |           10528.26 |            -5669.67
 Jewelry     | birdal    | amalgcorp #6          | cally        | Unknown        |     3 |            4416.87 |         10008.6075 |          -5591.7375
 Jewelry     | birdal    | amalgcorp #8          | cally        | Unknown        |     3 |            4997.08 | 10506.665833333333 |  -5509.585833333333
 Sports      | football  | corpnameless #6       | bar          | Unknown        |     2 | 3427.3800000000006 |  8936.610833333332 |  -5509.230833333331
 Sports      | football  | corpnameless #7       | ought        | Unknown        |     5 |  4606.819999999999 | 10115.622500000001 | -5508.8025000000025
 Electronics | stereo    | exportiamalgamalg #6  | bar          | Unknown        |     4 |            5004.76 | 10465.189166666665 |  -5460.429166666665
 Sports      | football  | corpnameless #9       | ought        | Unknown        |     7 |            4315.94 |  9758.616666666667 |  -5442.676666666667
 Jewelry     | birdal    | amalgcorp #4          | cally        | Unknown        |     6 |            5234.59 | 10674.411666666667 |  -5439.821666666667
 Books       | computers | exportimaxi #3        | ation        | Unknown        |     2 |            4979.87 | 10378.463333333335 |  -5398.593333333335
 Electronics | stereo    | exportiamalgamalg #6  | cally        | Unknown        |     7 | 3754.4299999999994 |  9152.242499999998 |  -5397.812499999999
 Jewelry     | birdal    | amalgcorp #8          | ese          | Unknown        |     4 |            5317.37 |         10705.4625 |          -5388.0925
 Jewelry     | birdal    | amalgcorp #3          | pri          | Unknown        |     2 |            4418.72 |  9805.785833333333 |  -5387.065833333333
 Electronics | stereo    | exportiamalgamalg #12 | bar          | Unknown        |     2 |  5243.380000000001 | 10624.663333333332 |  -5381.283333333331
 Electronics | stereo    | exportiamalgamalg #11 | eing         | Unknown        |     5 |            5173.45 | 10539.164166666667 |  -5365.714166666668
 Jewelry     | birdal    | amalgcorp #3          | n st         | Unknown        |     7 |            4254.08 |  9617.513333333332 | -5363.4333333333325
 Sports      | football  | corpnameless #5       | pri          | Unknown        |     2 |            3614.75 |  8977.240833333335 |  -5362.490833333335
 Jewelry     | birdal    | amalgcorp #1          | pri          | Unknown        |     5 | 4851.6500000000015 | 10196.720833333333 |  -5345.070833333331
 Sports      | football  | corpnameless #7       | ought        | Unknown        |     6 |            4785.22 | 10115.622500000001 |  -5330.402500000001
 Jewelry     | birdal    | amalgcorp #1          | anti         | Unknown        |     6 |  5185.849999999999 | 10506.688333333332 |  -5320.838333333332
 Books       | computers | exportimaxi #3        | n st         | Unknown        |     5 |            4608.64 |  9882.844166666666 | -5274.2041666666655
 Jewelry     | birdal    | amalgcorp #3          | ation        | Unknown        |     2 |            4864.81 | 10118.090833333334 |  -5253.280833333333
 Books       | computers | exportimaxi #9        | ought        | Unknown        |     2 |            5085.44 | 10324.282500000001 |  -5238.842500000002
 Books       | computers | exportimaxi #9        | n st         | Unknown        |     4 | 4035.9799999999996 |  9254.078333333333 |  -5218.098333333333
 Electronics | stereo    | exportiamalgamalg #12 | ese          | Unknown        |     2 |            4907.92 |         10113.5725 |          -5205.6525
 Electronics | stereo    | exportiamalgamalg #4  | able         | Unknown        |     2 | 4015.4900000000002 |  9179.556666666665 |  -5164.066666666666
 Electronics | stereo    | exportiamalgamalg #12 | ese          | Unknown        |     5 | 4952.8099999999995 |         10113.5725 |  -5160.762500000001
 Sports      | football  | corpnameless #5       | anti         | Unknown        |     3 |            4563.11 |  9687.364166666664 |  -5124.254166666665
 Sports      | football  | corpnameless #9       | n st         | Unknown        |     4 |            4181.94 |            9303.22 |            -5121.28
(100 rows)

