 i_category |       i_brand        | s_store_name | s_company_name | d_year | d_moy | avg_monthly_sales  |     sum_sales      |        psum        |        nsum        |      ?column?       
 Jewelry    | namelesscorp #3      | bar          | Unknown        |   1999 |     2 | 25180.597500000007 |           11451.47 | 18466.910000000003 | 13989.910000000002 | -13729.127500000008
 Jewelry    | amalgcorp #5         | eing         | Unknown        |   1999 |     2 | 24743.080000000005 |           11019.23 |           17820.42 | 13834.369999999995 | -13723.850000000006
 Books      | edu packunivamalg #2 | bar          | Unknown        |   1999 |     4 | 24315.972500000003 | 10653.719999999998 |            13382.8 | 15942.299999999997 | -13662.252500000006
 Jewelry    | exporticorp #5       | able         | Unknown        |   1999 |     2 | 25995.127500000002 | 12358.800000000003 | 17582.779999999995 | 15466.290000000005 |         -13636.3275
 Books      | edu packmaxi #2      | able         | Unknown        |   1999 |     4 |           26519.75 | 12913.049999999996 |           15604.54 | 14395.670000000002 | -13606.700000000004
 Books      | edu packmaxi #5      | able         | Unknown        |   1999 |     2 | 23634.977499999994 | 10094.129999999997 | 17395.369999999995 |           13019.05 | -13540.847499999996
 Books      | scholarmaxi #8       | eing         | Unknown        |   1999 |     2 | 26595.124166666672 |           13086.86 |           18295.53 |           15292.93 | -13508.264166666671
 Books      | scholarunivamalg #8  | eing         | Unknown        |   1999 |     4 |         25335.8275 | 11844.580000000005 | 14282.440000000002 |            16122.5 | -13491.247499999994
 Books      | scholarmaxi #8       | bar          | Unknown        |   1999 |     7 |  26822.15416666667 | 13378.769999999999 | 15455.459999999995 |  35787.70000000001 | -13443.384166666672
 Books      | univunivamalg #8     | ese          | Unknown        |   1999 |     2 | 25725.706666666665 | 12292.660000000002 | 19128.560000000005 |           17070.03 | -13433.046666666663
 Books      | edu packunivamalg #8 | able         | Unknown        |   1999 |     2 | 24329.719166666666 |           10975.51 |           16414.93 |            14221.3 | -13354.209166666666
 Books      | scholarmaxi #3       | eing         | Unknown        |   1999 |     5 | 25153.619999999995 | 11899.070000000002 | 13592.299999999996 |           15542.74 | -13254.549999999994
 Jewelry    | edu packbrand #7     | cally        | Unknown        |   1999 |     2 |  24083.08083333333 | 10860.509999999998 | 15858.460000000005 |           14648.48 | -13222.570833333331
 Jewelry    | brandcorp #3         | bar          | Unknown        |   1999 |     2 | 25642.819166666668 |           12443.75 | 18963.850000000006 | 14299.279999999997 | -13199.069166666668
 Jewelry    | scholarcorp #7       | able         | Unknown        |   1999 |     2 |  23743.79416666667 |           10546.15 |           15756.73 | 13997.870000000003 |  -13197.64416666667
 Books      | scholarunivamalg #11 | eing         | Unknown        |   1999 |     2 |  24919.62166666667 | 11748.670000000002 | 18262.219999999994 | 14260.440000000002 | -13170.951666666668
 Books      | importounivamalg #2  | cally        | Unknown        |   1999 |     2 | 25596.246666666673 |            12444.2 |           19119.26 | 14537.069999999996 | -13152.046666666673
 Jewelry    | brandcorp #7         | bar          | Unknown        |   1999 |     2 | 25404.906666666666 |            12334.6 |           18083.43 |           15515.13 | -13070.306666666665
 Jewelry    | brandcorp #3         | ese          | Unknown        |   1999 |     4 | 25150.600833333334 | 12105.019999999997 | 14639.599999999999 |           16383.07 | -13045.580833333337
 Books      | univunivamalg #5     | bar          | Unknown        |   1999 |     6 | 25411.571666666667 | 12375.010000000002 |           15253.36 | 16308.929999999997 | -13036.561666666665
 Books      | exportimaxi #5       | able         | Unknown        |   1999 |     4 | 25922.906666666666 | 12940.460000000003 | 14380.880000000003 | 14270.639999999994 | -12982.446666666663
 Books      | exportiunivamalg #3  | able         | Unknown        |   1999 |     4 | 23824.472500000007 | 10861.669999999998 | 14642.950000000004 |           14286.25 | -12962.802500000009
 Books      | edu packmaxi #3      | able         | Unknown        |   1999 |     2 | 24803.234999999997 | 11844.669999999998 | 16986.259999999995 | 14470.469999999994 | -12958.564999999999
 Jewelry    | corpcorp #7          | bar          | Unknown        |   1999 |     6 | 24060.235833333336 |           11154.45 |           13211.22 | 13137.140000000001 | -12905.785833333335
 Books      | maximaxi #9          | ese          | Unknown        |   1999 |     2 |  23886.81333333334 |            11011.7 | 16165.509999999998 |           13676.77 | -12875.113333333338
 Books      | scholarunivamalg #8  | bar          | Unknown        |   1999 |     3 | 25741.969166666662 | 12870.760000000004 | 13768.240000000002 | 15459.840000000002 | -12871.209166666658
 Books      | corpmaxi #5          | ese          | Unknown        |   1999 |     3 |  25627.80583333333 | 12807.460000000003 | 12918.450000000003 | 13123.439999999999 | -12820.345833333326
 Jewelry    | brandcorp #7         | cally        | Unknown        |   1999 |     2 |          23920.095 |           11138.89 | 17104.229999999996 | 14419.999999999998 | -12781.205000000002
 Books      | maximaxi #3          | able         | Unknown        |   1999 |     4 |  24472.84166666667 |            11706.5 |           12674.71 | 15443.240000000002 |  -12766.34166666667
 Books      | importomaxi #11      | able         | Unknown        |   1999 |     2 | 25075.117500000004 | 12320.829999999998 | 17874.410000000003 | 14932.189999999999 | -12754.287500000006
 Jewelry    | univbrand #7         | ese          | Unknown        |   1999 |     3 | 24491.101666666666 |           11737.49 | 12717.669999999998 | 13939.489999999998 | -12753.611666666666
 Books      | scholarmaxi #3       | ese          | Unknown        |   1999 |     2 | 24988.111666666664 | 12263.299999999997 | 16836.760000000002 |           16360.63 | -12724.811666666666
 Books      | importounivamalg #11 | able         | Unknown        |   1999 |     2 | 23475.379166666666 | 10752.590000000004 |            17395.9 | 14236.309999999998 | -12722.789166666662
 Books      | exportimaxi #8       | bar          | Unknown        |   1999 |     2 | 23462.444166666668 | 10745.870000000003 | 17282.529999999995 | 13794.780000000002 | -12716.574166666665
 Books      | edu packmaxi #2      | cally        | Unknown        |   1999 |     3 | 23918.210000000003 |            11212.2 |           12619.77 | 14588.390000000001 | -12706.010000000002
 Books      | univunivamalg #9     | able         | Unknown        |   1999 |     2 |          25097.955 | 12419.630000000001 |           17380.89 |           15769.37 |          -12678.325
 Jewelry    | exportibrand #7      | ese          | Unknown        |   1999 |     2 | 24302.379166666666 | 11632.529999999999 |           17014.71 | 14278.750000000007 | -12669.849166666667
 Books      | edu packmaxi #2      | bar          | Unknown        |   1999 |     4 | 25175.852499999997 | 12509.310000000001 | 13407.579999999998 | 13798.259999999998 | -12666.542499999996
 Jewelry    | univbrand #5         | eing         | Unknown        |   1999 |     2 | 23237.625833333335 |           10574.35 |           16538.55 | 12310.560000000001 | -12663.275833333335
 Books      | univunivamalg #5     | eing         | Unknown        |   1999 |     2 |         25288.6975 | 12641.520000000002 | 17137.159999999996 |           13429.57 | -12647.177499999996
 Jewelry    | univbrand #7         | eing         | Unknown        |   1999 |     6 | 25213.459166666667 |           12574.77 | 13741.619999999999 | 14373.829999999998 | -12638.689166666667
 Jewelry    | maxicorp #7          | able         | Unknown        |   1999 |     2 | 24481.290000000005 |           11843.64 | 17181.199999999993 | 13458.389999999998 | -12637.650000000005
 Books      | univunivamalg #5     | ese          | Unknown        |   1999 |     2 |  25078.86166666666 | 12444.279999999999 | 18154.510000000002 |           14248.07 | -12634.581666666661
 Books      | edu packunivamalg #8 | eing         | Unknown        |   1999 |     3 |         24041.1825 | 11425.420000000002 |           11815.83 |            13688.3 | -12615.762499999997
 Jewelry    | importocorp #5       | bar          | Unknown        |   1999 |     2 |  24434.42333333333 | 11829.479999999996 | 16599.310000000005 | 15599.710000000001 | -12604.943333333333
 Jewelry    | scholarbrand #3      | able         | Unknown        |   1999 |     2 |  23548.86416666667 |           10952.08 |           15740.71 |           12796.15 |  -12596.78416666667
 Books      | scholarmaxi #9       | ese          | Unknown        |   1999 |     3 |  25111.86333333333 | 12523.900000000001 | 13420.630000000003 | 15027.320000000003 |  -12587.96333333333
 Jewelry    | edu packcorp #5      | ese          | Unknown        |   1999 |     2 |  22254.65416666667 |            9667.57 | 17446.530000000002 |           12385.36 | -12587.084166666671
 Jewelry    | importobrand #1      | bar          | Unknown        |   1999 |     3 | 24712.189166666667 | 12125.740000000002 | 13553.059999999996 | 14760.510000000006 | -12586.449166666665
 Jewelry    | amalgcorp #5         | eing         | Unknown        |   1999 |     4 | 24743.080000000005 |           12161.33 | 13834.369999999995 |           15418.23 | -12581.750000000005
 Books      | scholarunivamalg #2  | bar          | Unknown        |   1999 |     3 |           23955.34 | 11394.900000000001 |           12689.72 | 13563.719999999998 | -12560.439999999999
 Books      | maximaxi #9          | cally        | Unknown        |   1999 |     6 | 22988.006666666668 | 10434.590000000002 | 13541.180000000002 |           14318.02 | -12553.416666666666
 Books      | scholarmaxi #3       | ese          | Unknown        |   1999 |     6 | 24988.111666666664 |           12435.83 | 14318.109999999997 |           15717.43 | -12552.281666666664
 Books      | scholarmaxi #9       | cally        | Unknown        |   1999 |     3 | 24053.651666666672 |           11519.14 | 12092.629999999996 | 14295.700000000004 | -12534.511666666673
 Books      | importomaxi #3       | ese          | Unknown        |   1999 |     2 | 24832.217500000002 |           12310.03 |           16551.54 | 13743.109999999999 | -12522.187500000002
 Books      | exportimaxi #8       | able         | Unknown        |   1999 |     6 | 23336.625833333335 |           10815.92 | 14276.769999999999 | 15117.829999999998 | -12520.705833333335
 Books      | edu packmaxi #2      | ese          | Unknown        |   1999 |     3 | 24441.920833333334 |            11925.6 | 13750.400000000003 | 14160.260000000002 | -12516.320833333333
 Jewelry    | exporticorp #3       | cally        | Unknown        |   1999 |     2 | 23919.183333333334 |           11411.28 |           17203.18 | 14052.780000000004 | -12507.903333333334
 Jewelry    | scholarcorp #7       | bar          | Unknown        |   1999 |     2 |         23401.6875 |           10893.87 | 18066.670000000002 | 15064.009999999998 |         -12507.8175
 Books      | maximaxi #2          | eing         | Unknown        |   1999 |     2 |  24963.02916666667 | 12458.650000000001 | 16625.129999999997 |           14739.64 |  -12504.37916666667
 Books      | edu packunivamalg #8 | bar          | Unknown        |   1999 |     2 | 23694.783333333326 | 11196.389999999998 | 17546.219999999998 | 13439.699999999997 | -12498.393333333328
 Books      | exportiunivamalg #5  | able         | Unknown        |   1999 |     4 | 23206.474166666663 |           10736.56 | 11932.650000000001 | 12788.569999999998 | -12469.914166666664
 Sports     | edu packmaxi #9      | able         | Unknown        |   1999 |     2 | 23159.055000000004 |           10726.83 | 16371.799999999997 |           11082.46 | -12432.225000000004
 Books      | amalgmaxi #3         | cally        | Unknown        |   1999 |     6 |  24433.96416666667 | 12014.650000000001 |           13162.96 | 15482.539999999997 | -12419.314166666667
 Books      | univunivamalg #8     | cally        | Unknown        |   1999 |     2 | 24604.850000000002 | 12187.229999999996 |           17532.19 | 14056.009999999995 | -12417.620000000006
 Home       | maxibrand #1         | able         | Unknown        |   1999 |     4 | 22546.243333333336 |           10128.75 | 13620.129999999997 |           13322.48 | -12417.493333333336
 Jewelry    | exportibrand #5      | ese          | Unknown        |   1999 |     2 |          21965.455 |            9591.02 |            15241.3 | 12679.170000000002 | -12374.435000000001
 Jewelry    | edu packcorp #3      | eing         | Unknown        |   1999 |     4 | 23721.119999999995 | 11349.940000000004 | 13953.569999999996 | 15101.259999999998 | -12371.179999999991
 Books      | importomaxi #11      | eing         | Unknown        |   1999 |     6 |  24493.61666666667 |            12183.5 | 14840.800000000001 | 13043.810000000001 | -12310.116666666669
 Jewelry    | scholarcorp #1       | ese          | Unknown        |   1999 |     3 |         22495.0675 |           10198.01 | 12082.580000000004 | 12752.519999999997 |         -12297.0575
 Books      | maximaxi #9          | bar          | Unknown        |   1999 |     4 |         24139.2375 | 11844.529999999999 | 13393.390000000001 | 14171.459999999995 |         -12294.7075
 Jewelry    | scholarbrand #3      | ese          | Unknown        |   1999 |     3 |  22566.63583333333 |           10276.55 |           11641.01 |           12730.82 |  -12290.08583333333
 Sports     | maxinameless #5      | able         | Unknown        |   1999 |     2 |  22747.37833333333 | 10459.519999999999 |            16641.6 | 12442.900000000001 | -12287.858333333332
 Books      | exportiunivamalg #3  | eing         | Unknown        |   1999 |     2 | 22423.650000000005 | 10148.269999999997 |  16372.64999999999 | 11970.109999999999 | -12275.380000000008
 Books      | exportiunivamalg #3  | bar          | Unknown        |   1999 |     2 |         22831.6775 |            10571.6 | 15221.430000000004 | 13285.059999999998 | -12260.077500000001
 Books      | amalgmaxi #11        | cally        | Unknown        |   1999 |     3 |         24458.3325 | 12212.469999999998 |           13682.14 |           14629.69 | -12245.862500000003
 Books      | univunivamalg #9     | ese          | Unknown        |   1999 |     2 |  24220.15083333333 |           11979.98 |           15894.82 | 13972.560000000001 |  -12240.17083333333
 Books      | maximaxi #3          | eing         | Unknown        |   1999 |     3 |  24417.33916666667 | 12181.849999999999 | 13995.399999999998 | 12201.699999999999 |  -12235.48916666667
 Books      | edu packunivamalg #8 | eing         | Unknown        |   1999 |     2 |         24041.1825 | 11815.829999999994 | 15705.929999999998 | 11425.419999999998 | -12225.352500000005
 Books      | maximaxi #3          | eing         | Unknown        |   1999 |     4 |  24417.33916666667 |            12201.7 | 12181.849999999999 | 14370.950000000003 | -12215.639166666668
 Books      | brandmaxi #9         | eing         | Unknown        |   1999 |     2 | 23303.316666666666 | 11097.019999999999 |  16027.05999999999 |           12172.68 | -12206.296666666667
 Books      | importomaxi #11      | ese          | Unknown        |   1999 |     2 | 23587.085833333334 | 11387.600000000002 | 17719.949999999997 |           14910.75 | -12199.485833333332
 Jewelry    | scholarbrand #3      | bar          | Unknown        |   1999 |     2 | 23518.739166666666 | 11327.840000000004 | 16582.949999999997 |           13453.32 | -12190.899166666662
 Books      | exportimaxi #5       | cally        | Unknown        |   1999 |     2 | 22964.471666666665 |           10777.18 | 16076.960000000006 | 13707.660000000005 | -12187.291666666664
 Books      | importounivamalg #5  | eing         | Unknown        |   1999 |     2 | 23570.385833333334 | 11390.320000000002 |           15730.77 | 14543.850000000006 | -12180.065833333332
(100 rows)

